csv_sku,matched_mfr_number,matched_from_field,name,row_type,image_position,image_url,url_basis
4-605::4-765,4-765,component_sku,10”/12” Standard Boxes w/ Ext. Handle - 10” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx765xx1.jpg,sku_mfr_main_image_candidate_only
4-605::4-766,4-766,component_sku,10”/12” Standard Boxes w/ Ext. Handle - 12” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx766xx1.jpg,sku_mfr_main_image_candidate_only
4-605::4-771,4-771,component_sku,10”/12” Standard Boxes w/ Ext. Handle - Compound Pump,toolset_component,1,https://www.zoro.com/static/cms/product/large/Z-x_K6icpEx_.JPG,verified_zoro_page_gallery
4-605::4-771,4-771,component_sku,10”/12” Standard Boxes w/ Ext. Handle - Compound Pump,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx12.jpg,verified_zoro_page_gallery
4-605::4-771,4-771,component_sku,10”/12” Standard Boxes w/ Ext. Handle - Compound Pump,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx2.jpg,verified_zoro_page_gallery
4-605::4-771,4-771,component_sku,10”/12” Standard Boxes w/ Ext. Handle - Compound Pump,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx13.jpg,verified_zoro_page_gallery
4-605::4-780,4-780,component_sku,10”/12” Standard Boxes w/ Ext. Handle - 40”- 62” Flat Box Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx780xx1.jpg,sku_mfr_main_image_candidate_only
4-629::4-768,4-768,component_sku,10”/12” MEGA BOXES W/ EXT. HANDLE - 10” Mega Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Z-x_K4mcpEx_.JPG,verified_zoro_page_gallery
4-629::4-769,4-769,component_sku,10”/12” MEGA BOXES W/ EXT. HANDLE - 12” Mega Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx769xx1.jpg,sku_mfr_main_image_candidate_only
4-629::4-771,4-771,component_sku,10”/12” MEGA BOXES W/ EXT. HANDLE - Compound Pump,toolset_component,1,https://www.zoro.com/static/cms/product/large/Z-x_K6icpEx_.JPG,verified_zoro_page_gallery
4-629::4-771,4-771,component_sku,10”/12” MEGA BOXES W/ EXT. HANDLE - Compound Pump,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx12.jpg,verified_zoro_page_gallery
4-629::4-771,4-771,component_sku,10”/12” MEGA BOXES W/ EXT. HANDLE - Compound Pump,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx2.jpg,verified_zoro_page_gallery
4-629::4-771,4-771,component_sku,10”/12” MEGA BOXES W/ EXT. HANDLE - Compound Pump,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx13.jpg,verified_zoro_page_gallery
4-629::4-780,4-780,component_sku,10”/12” MEGA BOXES W/ EXT. HANDLE - 40”- 62” Flat Box Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx780xx1.jpg,sku_mfr_main_image_candidate_only
4-630::4-707,4-707,component_sku,The Starter Taping Set - Corner Roller,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx707xx1.jpg,sku_mfr_main_image_candidate_only
4-630::4-714,4-714,component_sku,The Starter Taping Set - Gooseneck Filler Tube,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx714xx1.jpg,sku_mfr_main_image_candidate_only
4-630::4-760,4-760,component_sku,The Starter Taping Set - Automatic Taper,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx1.jpg,verified_zoro_page_gallery
4-630::4-760,4-760,component_sku,The Starter Taping Set - Automatic Taper,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx3.jpg,verified_zoro_page_gallery
4-630::4-760,4-760,component_sku,The Starter Taping Set - Automatic Taper,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx9.jpg,verified_zoro_page_gallery
4-630::4-760,4-760,component_sku,The Starter Taping Set - Automatic Taper,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx5.jpg,verified_zoro_page_gallery
4-630::4-760,4-760,component_sku,The Starter Taping Set - Automatic Taper,toolset_component,5,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx7.jpg,verified_zoro_page_gallery
4-630::4-760,4-760,component_sku,The Starter Taping Set - Automatic Taper,toolset_component,6,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx4.jpg,verified_zoro_page_gallery
4-630::4-760,4-760,component_sku,The Starter Taping Set - Automatic Taper,toolset_component,7,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx6.jpg,verified_zoro_page_gallery
4-630::4-760,4-760,component_sku,The Starter Taping Set - Automatic Taper,toolset_component,8,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx8.jpg,verified_zoro_page_gallery
4-630::4-760,4-760,component_sku,The Starter Taping Set - Automatic Taper,toolset_component,9,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx2.jpg,verified_zoro_page_gallery
4-630::4-771,4-771,component_sku,The Starter Taping Set - Compound Pump,toolset_component,1,https://www.zoro.com/static/cms/product/large/Z-x_K6icpEx_.JPG,verified_zoro_page_gallery
4-630::4-771,4-771,component_sku,The Starter Taping Set - Compound Pump,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx12.jpg,verified_zoro_page_gallery
4-630::4-771,4-771,component_sku,The Starter Taping Set - Compound Pump,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx2.jpg,verified_zoro_page_gallery
4-630::4-771,4-771,component_sku,The Starter Taping Set - Compound Pump,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx13.jpg,verified_zoro_page_gallery
4-630::4-777,4-777,component_sku,The Starter Taping Set - 50” Corner Roller Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx777xx1.jpg,verified_zoro_page_gallery
4-650::4-708,4-708,component_sku,The Semi-Automatic Starter Set - Corner Roller,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx708xx1.jpg,sku_mfr_main_image_candidate_only
4-650::4-712,4-712,component_sku,The Semi-Automatic Starter Set - 42” Flat Box Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx712xx1.jpg,sku_mfr_main_image_candidate_only
4-650::4-722,4-722,component_sku,The Semi-Automatic Starter Set - 10” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx722xx1.jpg,sku_mfr_main_image_candidate_only
4-650::4-723,4-723,component_sku,The Semi-Automatic Starter Set - 12” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx723xx1.jpg,sku_mfr_main_image_candidate_only
4-650::4-741,4-741,component_sku,The Semi-Automatic Starter Set - Compound Tube,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx741xx1.jpg,sku_mfr_main_image_candidate_only
4-650::4-744,4-744,component_sku,The Semi-Automatic Starter Set - 3.5” Corner Flusher,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx744xx1.jpg,sku_mfr_main_image_candidate_only
4-650::4-775,4-775,component_sku,The Semi-Automatic Starter Set - Corner Roller/Nail Spotter Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx775xx1.jpg,sku_mfr_main_image_candidate_only
4-650::5-311,5-311,component_sku,The Semi-Automatic Starter Set - Drywall Banjo,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_5xx311xx1.jpg,sku_mfr_main_image_candidate_only
4-661P::4-707,4-707,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Corner Roller,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx707xx1.jpg,sku_mfr_main_image_candidate_only
4-661P::4-714,4-714,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Gooseneck Filler Tube,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx714xx1.jpg,sku_mfr_main_image_candidate_only
4-661P::4-733,4-733,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - 3” Corner Finisher,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx733xx1.jpg,sku_mfr_main_image_candidate_only
4-661P::4-760,4-760,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Automatic Taper,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx1.jpg,verified_zoro_page_gallery
4-661P::4-760,4-760,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Automatic Taper,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx3.jpg,verified_zoro_page_gallery
4-661P::4-760,4-760,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Automatic Taper,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx9.jpg,verified_zoro_page_gallery
4-661P::4-760,4-760,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Automatic Taper,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx5.jpg,verified_zoro_page_gallery
4-661P::4-760,4-760,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Automatic Taper,toolset_component,5,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx7.jpg,verified_zoro_page_gallery
4-661P::4-760,4-760,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Automatic Taper,toolset_component,6,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx4.jpg,verified_zoro_page_gallery
4-661P::4-760,4-760,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Automatic Taper,toolset_component,7,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx6.jpg,verified_zoro_page_gallery
4-661P::4-760,4-760,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Automatic Taper,toolset_component,8,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx8.jpg,verified_zoro_page_gallery
4-661P::4-760,4-760,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Automatic Taper,toolset_component,9,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx2.jpg,verified_zoro_page_gallery
4-661P::4-765,4-765,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - 10” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx765xx1.jpg,sku_mfr_main_image_candidate_only
4-661P::4-766,4-766,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - 12” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx766xx1.jpg,sku_mfr_main_image_candidate_only
4-661P::4-771,4-771,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Compound Pump,toolset_component,1,https://www.zoro.com/static/cms/product/large/Z-x_K6icpEx_.JPG,verified_zoro_page_gallery
4-661P::4-771,4-771,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Compound Pump,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx12.jpg,verified_zoro_page_gallery
4-661P::4-771,4-771,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Compound Pump,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx2.jpg,verified_zoro_page_gallery
4-661P::4-771,4-771,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - Compound Pump,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx13.jpg,verified_zoro_page_gallery
4-661P::4-772,4-772,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - MiniShot,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx772xx1.jpg,sku_mfr_main_image_candidate_only
4-661P::4-780,4-780,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - 40”- 62” Flat Box Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx780xx1.jpg,sku_mfr_main_image_candidate_only
4-661P::4-792,4-792,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - 31”- 50” Corner Roller Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx792xx1.jpg,sku_mfr_main_image_candidate_only
4-661P::4-795,4-795,component_sku,The Full Taping Set w/ Ext. Handles & MiniShot - 31”- 50” Corner Finisher Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx795xx1.jpg,sku_mfr_main_image_candidate_only
