csv_sku,matched_mfr_number,matched_from_field,name,row_type,image_position,image_url,url_basis
4-687P::4-623,4-623,component_sku,Finishing Set w/ Ext. Handles & MiniShot - Bonus Hand Tool Set (as printed: 4-623),toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx623xx1.jpg,sku_mfr_main_image_candidate_only
4-687P::4-707,4-707,component_sku,Finishing Set w/ Ext. Handles & MiniShot - Corner Roller,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx707xx1.jpg,sku_mfr_main_image_candidate_only
4-687P::4-733,4-733,component_sku,Finishing Set w/ Ext. Handles & MiniShot - 3” Corner Finisher,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx733xx1.jpg,sku_mfr_main_image_candidate_only
4-687P::4-734,4-734,component_sku,Finishing Set w/ Ext. Handles & MiniShot - 3.5” Corner Finisher,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx734xx1.jpg,verified_zoro_page_gallery
4-687P::4-734,4-734,component_sku,Finishing Set w/ Ext. Handles & MiniShot - 3.5” Corner Finisher,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx734xx3.jpg,verified_zoro_page_gallery
4-687P::4-734,4-734,component_sku,Finishing Set w/ Ext. Handles & MiniShot - 3.5” Corner Finisher,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx734xx2.jpg,verified_zoro_page_gallery
4-687P::4-768,4-768,component_sku,Finishing Set w/ Ext. Handles & MiniShot - 10” Mega Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Z-x_K4mcpEx_.JPG,verified_zoro_page_gallery
4-687P::4-769,4-769,component_sku,Finishing Set w/ Ext. Handles & MiniShot - 12” Mega Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx769xx1.jpg,sku_mfr_main_image_candidate_only
4-687P::4-771,4-771,component_sku,Finishing Set w/ Ext. Handles & MiniShot - Compound Pump,toolset_component,1,https://www.zoro.com/static/cms/product/large/Z-x_K6icpEx_.JPG,verified_zoro_page_gallery
4-687P::4-771,4-771,component_sku,Finishing Set w/ Ext. Handles & MiniShot - Compound Pump,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx12.jpg,verified_zoro_page_gallery
4-687P::4-771,4-771,component_sku,Finishing Set w/ Ext. Handles & MiniShot - Compound Pump,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx2.jpg,verified_zoro_page_gallery
4-687P::4-771,4-771,component_sku,Finishing Set w/ Ext. Handles & MiniShot - Compound Pump,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx13.jpg,verified_zoro_page_gallery
4-687P::4-772,4-772,component_sku,Finishing Set w/ Ext. Handles & MiniShot - MiniShot,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx772xx1.jpg,sku_mfr_main_image_candidate_only
4-687P::4-780,4-780,component_sku,Finishing Set w/ Ext. Handles & MiniShot - 40”- 62” Flat Box Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx780xx1.jpg,sku_mfr_main_image_candidate_only
4-687P::4-792,4-792,component_sku,Finishing Set w/ Ext. Handles & MiniShot - 31”- 50” Corner Roller Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx792xx1.jpg,sku_mfr_main_image_candidate_only
4-687P::4-795,4-795,component_sku,Finishing Set w/ Ext. Handles & MiniShot - 31”- 50” Corner Finisher Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx795xx1.jpg,sku_mfr_main_image_candidate_only
