PART #,QUANTITY REQURIED,COLUMBIA AUTOMATIC TAPER, LIST PRICE USD ,,
CT120,1,Tape Spool, $25.09 ,,
CT121A,1,“O” Ring, $1.25 ,,
CT121B,1,Tape Spool Shaft (New), $12.55 ,,
CT122A,1,Strap (New), $18.84 ,,
CT123A,1,Retaining Spring Shaft (New), $10.03 ,,
CT126PA,1,Hand Grip Body Pump Action, $62.76 ,,
CT127,1,Extension Shaft Bracket, $31.38 ,,
CT128A,1,Shaft Guide Strap, $25.09 ,,
CT130,1,Extension Shaft, $22.61 ,,
CT124A,1,Grip Guard Ring Top, $34.33 ,,
CT124B,1,Grip Guard Ring Bottom, $34.33 ,,
CPT125B,8,Teflon Threaded Insert, $9.35 ,,
MP9C,1,Connecting Link, $3.76 ,,
,,,,,
FA199,4,2-56 x 3/16 Binder Slot, $0.52 ,,
FA200,3,1/16” x ¼” Split Pin, $0.52 ,,
FA201,2,1/16” x 3/8” Split Pin, $0.52 ,,
FA203,2,1/16” x ¾” Cotter Pin, $0.52 ,,
FA206,2,4-40 Hex Nut, $1.44 ,,
FA207,24,4-40 Nyloc Nut, $1.44 ,,
FA208,8,4-40 x 1/8” Binder Slot, $0.52 ,,
FA209,7,4-40 x 1/8” Flat Slot, $0.52 ,,
FA210,22,4-40 x 3/16” Binder Slot, $0.52 ,,
FA212,4,4-40 x 3/16” Truss Slot, $0.52 ,,
FA213,3,4-40 x ¼” Binder Slot, $0.52 ,,
FA214,6,4-40 x ¼” Flat Slot, $0.52 ,,
FA215,10,4-40 x 5/16” Binder Slot, $0.52 ,,
FA218,4,4-40 x 3/8” Flat Slot, $0.52 ,,
FA219,4,4-40 x ½” Fillister Slot, $0.52 ,,
FA220,8,4-40 x ¾” Hex Bolt, $0.52 ,,
FA222,10,5-40 x 3/8” Pan Slot, $0.52 ,,
FA224,1,1/8” x 3/8” Split Pin, $0.79 ,,
FA225,16,1/8” x 3/8” Rivet Shoulder Washer, $1.44 ,,
FA226,1,6-32 x 3/16” Flat Slot, $0.52 ,,
FA228,2,#6 Flat Washer, $0.52 ,,
FA229,6,#6 Lock Washer, $0.52 ,,
FA230,2,#6 Star Washer, $0.52 ,,
FA233,2,6-32 Nyloc Nut, $1.44 ,,
FA234,2,6-32 Nyloc Jam Nut, $1.28 ,,
FA236,3,6-32 x 1/8” Binder Slot, $0.52 ,,
