SKU,MPN,Images,match_type,wt_sku,wt_title
NS3-3,NS3-3,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/14517/28950/Columbia_3_in_Nail_Spotter__79318.1743081110.jpg,proxy,COLM-NS,Columbia 3 inch Nail Spotter
NS3A,NS3A,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17081/17470/COL-FFB17_01_1__92620.1555359312.jpg,name,COLM-FFB17,Columbia Door Spring (a.k.a. Pressure Plate Spring) (COLM-FFB17)
CT87-OLD,CT87-OLD,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18367/28492/nophotoavailablesmall__94933.1632838747.1280.1280__65158.1695062850.jpg,name,COLM-CTA99CL,Columbia Taper Cam Lock Cap Pin Assembly(COLM-CTA99CL)
CT33,CT33,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/14051/18362/COL-CT7_01_1__11648.1555359187.jpg,name,COLM-CT7,Columbia Side Plate Support - Left (COLM-CT7)
CFB23,CFB23,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17455/26656/Angle_Head_all_Sizes_AH_-_4__94793.1632344433.jpg,colm,COLM-CF,"Columbia Angle Head is available in 2-inch, 2.5-inch, 3-inch, and 3.5-inch"
CFB20,CFB20,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17455/26656/Angle_Head_all_Sizes_AH_-_4__94793.1632344433.jpg,colm,COLM-CF,"Columbia Angle Head is available in 2-inch, 2.5-inch, 3-inch, and 3.5-inch"
CFB11A,CFB11A,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13176/20981/COL-CFB7-7_01_1__31448.1555359150.jpg,name,COLM-CFB7-7,Columbia Corner Box Door Gasket 7&quot; (COLM-CFB7-7)
ICATW1,ICATW1,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/15336/22775/icatw_front_500x500__40148.1632328344.jpg,proxy,COLM-ICATW,Columbia Two-Way Inside Corner Applicator
CF5-3,CF5-3,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/15856/18551/COL-AH7-3_01__24244.1555359258.jpg,name,COLM-AH7-3,Columbia Frame Tension Spring for 2.5 and 3 in. Angle Heads (COLM-AH7-3)
CF5-3WT,CF5-3WT,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/15856/18551/COL-AH7-3_01__24244.1555359258.jpg,name,COLM-AH7-3,Columbia Frame Tension Spring for 2.5 and 3 in. Angle Heads (COLM-AH7-3)
COL3CSF,COL3CSF,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13886/17248/2.5sf_500x500_1__26682.1632335919.jpg,proxy,COLM-SF-X,Columbia Standard Flushers
AH20,AH20,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17181/21093/col-aha2_01__96875.1761240331.jpg,name,COLM-AHA2,Columbia Corner Finisher / Angle Head Frames (COLM-AHA2)
AH21,AH21,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17181/21093/col-aha2_01__96875.1761240331.jpg,name,COLM-AHA2,Columbia Corner Finisher / Angle Head Frames (COLM-AHA2)
AH22,AH22,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17181/21093/col-aha2_01__96875.1761240331.jpg,name,COLM-AHA2,Columbia Corner Finisher / Angle Head Frames (COLM-AHA2)
AH23,AH23,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12858/16907/col-ah16_01__99129.1761240284.jpg,name,COLM-AH16,Columbia Angle Head Retaining Spring Backer (COLM-AH16)
ICA1,ICA1,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16764/18003/ica1-2_back_500x500__30817.1630433635.jpg,name,COLM-ICA2-1,Columbia Inside 90 Corner Applicator 2 Wheels
ICA4L,ICA4L,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16764/18003/ica1-2_back_500x500__30817.1630433635.jpg,name,COLM-ICA2-1,Columbia Inside 90 Corner Applicator 2 Wheels
ICA4R,ICA4R,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16764/18003/ica1-2_back_500x500__30817.1630433635.jpg,name,COLM-ICA2-1,Columbia Inside 90 Corner Applicator 2 Wheels
CF1C,CF1C,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13886/17248/2.5sf_500x500_1__26682.1632335919.jpg,proxy,COLM-SF-X,Columbia Standard Flushers
CF2,CF2,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13886/17248/2.5sf_500x500_1__26682.1632335919.jpg,proxy,COLM-SF-X,Columbia Standard Flushers
CF4S,CF4S,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13790/25252/nophotoavailablesmall__50141.1555359176.jpg,name,COLM-HNS10A,Columbia Door Spring Short for Hinged Nail Spotter (COLM-HNS10A)
CF7,CF7,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13886/17248/2.5sf_500x500_1__26682.1632335919.jpg,proxy,COLM-SF-X,Columbia Standard Flushers
CF8,CF8,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13886/17248/2.5sf_500x500_1__26682.1632335919.jpg,proxy,COLM-SF-X,Columbia Standard Flushers
CF38,CF38,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13886/17248/2.5sf_500x500_1__26682.1632335919.jpg,proxy,COLM-SF-X,Columbia Standard Flushers
