Tool Name,Part Name,SKU,Image URL
Columbia Flat Finishing Box Repair Parts,FA216 - 4-40 X 3/8” Fillister Slot,08FA216,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA216_01_1.jpg?v=1762537118
Columbia Flat Finishing Box Repair Parts,"FA231 - 6-32 x 3/8"" Hex Bolt",08FA231,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA231_0886d96f-5765-4955-8c4d-5ccd03617352.jpg?v=1764001194
Columbia Flat Finishing Box Repair Parts,FA232 - 6-32 Hex Nut,08FA232,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA232_dea3bfa2-ee39-4ec4-8f76-e5b3a8333591.jpg?v=1764182285
Columbia Flat Finishing Box Repair Parts,FA233 - 6-32 Nyloc Nut,08FA233,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA233_01_1_1f91e48c-708e-4127-aa3f-b85b220ef281.jpg?v=1748023727
Columbia Flat Finishing Box Repair Parts,"FA238 - 6-32 X 3/16"" Fillister Slot",08FA238,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA238_01_1_c3eebc83-9480-4b40-9637-5c7f47125e01.jpg?v=1764001205
Columbia Flat Finishing Box Repair Parts,"FA239 - 6-32 X 1/4"" Binder Slot",08FA239,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA239_01_1_2c871d66-6bdd-4ce7-94bf-0ce9939f3762.jpg?v=1763480522
Columbia Flat Finishing Box Repair Parts,"FA241 - 6-32 X 3/8"" Binder Slot",08FA241,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA241_01_1_8d355e00-33cc-4076-b77d-09d1995f677a.jpg?v=1763480541
Columbia Flat Finishing Box Repair Parts,"FA247 -  6-32 X 5/8"" Hex Bolt",08FA247,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA247_fc397522-5889-4841-afc4-b7e7fa13bcdd.jpg?v=1764001234
Columbia Flat Finishing Box Repair Parts,FA258 - 8-32X 1/4 Half Dog Set,08FA258,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA258_01_1_84ace352-37ca-4c2a-b47d-c6b9db215a81.jpg?v=1746465226
Columbia Flat Finishing Box Repair Parts,FA268 - #10 Flat Washer,08FA268,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA268_bd097418-98a3-491a-a1ab-f39a2cae3ba0.jpg?v=1764182531
Columbia Flat Finishing Box Repair Parts,FA271 - 10-24 Nyloc Nut,08FA271,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA271_76046d4d-e0c6-433b-a01b-6f88364f6239.jpg?v=1750246297
Columbia Flat Finishing Box Repair Parts,FA272 - 10-24 Wing Nut,08FA272,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA272.jpg?v=1764182565
Columbia Flat Finishing Box Repair Parts,"FA275 - 10-24 x 7/8"" Hex Bolt",08FA275,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FA275.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FA280 - #10 Belleville Washer,08FA280,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA280_94e61fa8-242a-4e1d-8cbb-a1b88774491c.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB4A - Stainless Steel Washer,08FFB4A,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB4A.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB4B - Stainless Steel Backing Washer,08FFB4B,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB4B.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB5-7 - Axle - 7""",08FFB5-7,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-7.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB5-8 - Axle - 8""",08FFB5-8,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-8.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB5-10 - Axle - 10""",08FFB5-10,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-10.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB5-12 - Axle - 12""",08FFB5-12,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-12.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB5-14 - Axle - 14""",08FFB5-14,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-14.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB5A - Axel Bushing,08FFB5A,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB5A.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB7 - Shoe - Right,08FFB7,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB7.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB7A - Shoe - Left,08FFB7A,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB7A.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB8 - Bar Retainer Clip,08FFB8,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB8.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB9-5.5 - Blade 5.5""",08FFB9-5.5,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB9-5.5.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB9-7 - Blade - 7""",08FFB9-7,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB9-7.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB9-8 - Blade - 8""",08FFB9-8,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB9-8.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB9-10 - Blade - 10""",08FFB9-10,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB9-10.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB9-12 - Blade - 12""",08FFB9-12,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB9-12.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB9-14 - Blade 14""",08FFB9-14,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB9-14.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB11-8 - Adjuster Spring - 8""",08FFB11-8,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB11.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB11-10 - Adjuster Spring - 10""",08FFB11-10,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB11.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB11-12 - Adjuster Spring - 12""",08FFB11-12,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB11.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB16 - Door Spring Nut,08FFB16,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB16.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB17 - Door Spring,08FFB17,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB17.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB25-10 - 10"" Rubber Gasket Retainer",08FFB25-10,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB25-10.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"FFB25-12 - 12"" Rubber Gasket Retainer",08FFB25-12,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB25-10.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB32 - Door Stop,08FFB32,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB32_0f6258ad-9426-4468-a38c-58cf5a2cca99.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB32A - Thumb Release Clip Screw,08FFB32A,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB32A_aa520b3e-6dd8-4d4b-be9e-2dbe933ea859.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB36 - Box Wheel,08FFB36,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB36.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB37 - Rubber for Box Wheel,08FFB37,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB37.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB38 - Nyliner Bearing,08FFB38,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB38.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,FFB39 - Hex Bolt,08FFB39,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB39.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"HFFB1A-10 - Mud Seal Strip - 10""",08HFFB1A-10,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/HFFB1A-10.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,HFFB3 - Hinge Box End Plate-Right,08HFFB3,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/HFFB3.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,HFFB3A - Hinge Box End Plate- Left,08HFFB3A,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/HFFB3A.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,HFFB4D - Nylatron Bushing,08HFFB4D,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/HFFB4D.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"HFFB14-8 - 8"" Flat Box Hinged Door Gasket",08HFFB14-8,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/HFFB14-8.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"HFFB14-10 - 10"" Flat Box Hinged Door Gasket",08HFFB14-10,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/HFFB14-10.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"HFFB14-12 - 12"" Flat Box Hinged Door Gasket",08HFFB14-12,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/HFFB14-12.jpg?v=1767895153
Columbia Flat Finishing Box Repair Parts,"HFFB14-14 - 14"" Flat Box Hinged Door Gasket",08HFFB14-14,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/HFFB14-14.jpg?v=1767895153
Columbia Automatic Taper Head Repair Parts,CT2 - Insert Bushing for CT#7A,08CT2,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT2_01_1.jpg?v=1749041783
Columbia Automatic Taper Head Repair Parts,CT3 - Right Insert Bushing (includes CT4),08CT3,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT3_01_1.jpg?v=1748024871
Columbia Automatic Taper Head Repair Parts,CT3A - Left Insert Bushing,08CT3A,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT3A_01_1.jpg?v=1748024880
Columbia Automatic Taper Head Repair Parts,CT4 - Left Wafer Bushing,08CT4,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT4_01_1.jpg?v=1749041755
Columbia Automatic Taper Head Repair Parts,CT5 - Right Wafer Bushing,08CT5,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT5_01_1.jpg?v=1748024924
Columbia Automatic Taper Head Repair Parts,CT6A - Stainless Steel Side Plate - Left,08CT6A,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT6A_01_1.jpg?v=1748969478
Columbia Automatic Taper Head Repair Parts,CT7A - Side Plate Hub,08CT7A,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT7A_01_1.jpg?v=1748024935
Columbia Automatic Taper Head Repair Parts,CT10A - Crimping Arm Shaft Bushing - L,08CT10A,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT10A_01_1.jpg?v=1748024947
Columbia Automatic Taper Head Repair Parts,CT13 - Dog Base Bracket,08CT13,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT13_01_1.jpg?v=1748025124
Columbia Automatic Taper Head Repair Parts,CT14A - Taper Adjustable Brake,08CT14A,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT14A_01_1.jpg?v=1748025144
Columbia Automatic Taper Head Repair Parts,CT15 - Ratchet Rod for Adjustable Brake,08CT15,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT15_01_1.jpg?v=1748022674
Columbia Automatic Taper Head Repair Parts,CT16 - Brake Dog,08CT16,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT16_01_1.jpg?v=1748022694
Columbia Automatic Taper Head Repair Parts,CT19 - Paper Feed Guide,08CT19,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT19_01_1.jpg?v=1748969503
Columbia Automatic Taper Head Repair Parts,CT20 - Hinge Block,08CT20,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT20_01_1.jpg?v=1748969523
Columbia Automatic Taper Head Repair Parts,CT25 - Knife Guide Square Tube,08CT25,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-CT25_01_1.jpg?v=1748969538
