Brand,WC_Category,Current_SKU,Current_Name,Current_Price,Proposed_Parent_SKU,Proposed_Parent_Name,Attribute_Name,Attribute_Value,From_Price,Action,Notes
Columbia Taping Tools,Repair Kits & Parts,14FFB,"Columbia 14"" Drywall Flat Finishing Box (14FFB)",421.79,10FFBGROUP,Columbia Drywall Flat Finishing Box,Size,"14""",$400.16,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,10FBB,"Columbia 10"" Fat Boy Drywall Flat Finishing Box (10FBB)",454.23,10FBBGROUP,Columbia Fat Boy Drywall Flat Finishing Box,Size,"10""",$443.42,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,12FBB,"Columbia 12"" Fat Boy Drywall Flat Finishing Box (12FBB)",465.05,10FBBGROUP,Columbia Fat Boy Drywall Flat Finishing Box,Size,"12""",$443.42,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,8FBB,"Columbia 8"" Fat Boy Drywall Flat Finishing Box (8FBB)",443.42,10FBBGROUP,Columbia Fat Boy Drywall Flat Finishing Box,Size,"8""",$443.42,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CMT24,"Columbia 24"" Drywall Corner Finishing Compound Mud Tube (CMT24)",197.91,CMTGROUP,Columbia Drywall Corner Finishing Compound Mud Tube,Size,"24""",$197.91,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CMT32,"Columbia 32"" Drywall Corner Finishing Compound Mud Tube (CMT32)",208.73,CMTGROUP,Columbia Drywall Corner Finishing Compound Mud Tube,Size,"32""",$197.91,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CMT42,"Columbia 42"" Drywall Corner Finishing Compound Mud Tube (CMT42)",221.71,CMTGROUP,Columbia Drywall Corner Finishing Compound Mud Tube,Size,"42""",$197.91,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CLT32,"Columbia 32"" Cam-Lock Compound Mud Tube (CLT32)",268.21,CLTGROUP,Columbia Cam-Lock Compound Mud Tube,Size,"32""",$268.21,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CLT42,"Columbia 42"" Cam-Lock Compound Mud Tube (CLT42)",280.11,CLTGROUP,Columbia Cam-Lock Compound Mud Tube,Size,"42""",$268.21,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CLT55,"Columbia 55"" Cam-Lock Compound Mud Tube (CLT55)",278.10,CLTGROUP,Columbia Cam-Lock Compound Mud Tube,Size,"55""",$268.21,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FFB14-10,"Columbia Flat Box Door Gasket 10"" (FFB14-10)",,FFB14-GROUP,Columbia Flat Box Door Gasket,Size,"10""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FFB14-7,"Columbia Flat Box Door Gasket 7"" (FFB14-7)",,FFB14-GROUP,Columbia Flat Box Door Gasket,Size,"7""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FFB14-8,"Columbia Flat Box Door Gasket 8"" (FFB14-8)",,FFB14-GROUP,Columbia Flat Box Door Gasket,Size,"8""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FFB-25-10,"Columbia Flat Box Rubber Gasket Retainer 10"" (FFB-25-10)",,FFB-25-GROUP,Columbia Flat Box Rubber Gasket Retainer,Size,"10""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FFB-25-12,"Columbia Flat Box Rubber Gasket Retainer 12"" (FFB-25-12)",,FFB-25-GROUP,Columbia Flat Box Rubber Gasket Retainer,Size,"12""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FFB25-7,"Columbia Flat Box Rubber Gasket Retainer 7"" (FFB25-7)",,FFB-25-GROUP,Columbia Flat Box Rubber Gasket Retainer,Size,"7""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,HFFB14-12,"Std Hinged Flat Box Door Gasket 12"" (HFFB14-12)",45.20,HFFB14-GROUP,Std Hinged Flat Box Door Gasket,Size,"12""",$45.20,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,HFFB14-10,"Std Hinged Flat Box Door Gasket 10"" (HFFB14-10)",45.20,HFFB14-GROUP,Std Hinged Flat Box Door Gasket,Size,"10""",$45.20,MERGE → variable product,
