"Brand","Part Name","SKU","Description","Price","Correlated/Linked Tool Schematic Diagram","Schematic Diagram Label ID (Hotspots call out label on corresponding schematic diagram image)","Image/s urls"
"TapeTech","Automatic Taper Creaser Wheel - 050073","050073","Automatic Taper Creaser Wheel #050073 fits TapeTech, NorthStar, Concorde and Drywall Master.","N/A","07TT","050073","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/2549/2090/httpwww.alstapingtools.comimagesproductsdetail050073__03232.1675191908.jpg"
"TapeTech","Creaser Crank - 050079","050079","CREASER CRANK FOR AUTOMATIC TAPER","N/A","07TT","050079","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/2315/1571/httpwww.alstapingtools.comimagesproductsdetail050079__92327.1675191900.jpg"
"TapeTech","Screw Block - 050080","050080F","SCREW BLOCK FOR AUTOMATIC TAPER","N/A","07TT","050080F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/3537/4312/httpwww.alstapingtools.comimagesproductsdetail050080f__18337.1675191939.jpg"
"TapeTech","Creaser Return Spring - 050081","050081F","Creaser return spring for Automatic Taper.","N/A","07TT","050081F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/2409/2914/httpwww.alstapingtools.comimagesproductsdetail050081f__67319.1675191919.jpg"
"TapeTech","Cable Drum - 050083F","050083F","CABLE DRUM (W/ 059014)","N/A","07TT","050083F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/2551/2406/050083f_1__84333.1675191912.jpg"
"TapeTech","Head Bushing - 050086","050086F","","N/A","07TT","050086F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/753/4568/050086f__30698.1675191942.jpg | https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/loading.svg"
"TapeTech","Tape Guide Spacer Bar - 050090","050090F","TAPE GUIDE SPACE BAR FOR AUTOMATIC TAPER","N/A","07TT","050090F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/2864/3250/httpwww.alstapingtools.comimagesproductsdetail050090f__23283.1675191924.jpg"
"TapeTech","Taper Wheel - 050093","050093F","DRIVE WHEEL, TAPER FOR AUTOMATIC TAPER","N/A","07TT","050093F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/2991/4626/httpwww.alstapingtools.comimagesproductsdetail050093f__81428.1675191943.jpg"
"TapeTech","Taper Wheel Spool - 050094","050094F","WHEEL SPOOL, TAPER FOR AUTOMATIC TAPER","N/A","07TT","050094F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/3146/4102/050094f_1__61980.1675191936.jpg"
"TapeTech","Head Bushing - 050099","050099F","050099 Head Bushing for automatic taper.","N/A","07TT","050099F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/2682/2559/httpwww.alstapingtools.comimagesproductsdetail050099f__11948.1675191914.jpg"
"TapeTech","Drive Hub - 050109","050109F","050109 - Drive Hub for Automatic Taper","N/A","07TT","050109F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/3253/1359/httpwww.alstapingtools.comimagesproductsdetail050109f__64186.1675191897.jpg"
"TapeTech","Cutter Block Tube - 050113F","050113F","Cutter Block Tube #050113F","N/A","07TT; T05CF","050113F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/3099/3118/httpwww.alstapingtools.comimagesproductsdetail050113f__71146.1675191922.jpg"
"TapeTech","Drive Dog Spring - 050115F","050115F","DRIVE DOG SPRING FOR AUTOMATIC TAPER; Sold As Part Of: Kit 215","N/A","07TT","050115F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/3140/2427/httpwww.alstapingtools.comimagesproductsdetail050115f__09310.1675191913.jpg"
"TapeTech","Cam - 050123","050123","","N/A","07TT","050123","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/1815/2710/httpwww.alstapingtools.comimagesproductsdetail050123__31646.1675191916.jpg"
"TapeTech","Chain Roller Bushing - 050128","050128F","Chain Roller Bushing for Automatic Taper","N/A","07TT; T05CF","050128F","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280w/products/3355/1400/httpwww.alstapingtools.comimagesproductsdetail050128f__56166.1675191898.jpg"
