brand,model,schematic_key,normalized_sku,display_id,part_name,quantity,notes,source_confidence
TapeTech,07TT,07TT/schematic_data.json,050003,050003,"Wiper, Control Valve",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050004,050004,"Wiper, Retainer",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050017,050017,Collar Bushing,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050019,050019,Disengaging Cam,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050023F,050023F,Spacer Bar,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050027,050027,"Lock, Needle Holder",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050030,050030,Magnet,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050034F,050034F,Disengaging Rod,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050041F,050041F,Disengaging Rod Bearing,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050043F,050043F,Anvil,2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050046,050046,"Support, Right Chain Roller",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050050F,050050F,Needle Holder,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050053,050053,Cam Gooser Release,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050058,050058,Control Valve,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050063,050063,Cut Off Spring Cover,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050064F,050064F,Valve,1,name_source=researched,high
TapeTech,07TT,07TT/schematic_data.json,050068,050068,Gooser & Cutter Chain Stop,2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050070F,050070F,Creaser Axle,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050071F,050071F,Front Support,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050072F,050072F,Rear Support,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050073,050073,Creaser Wheel,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050079,050079,Creaser Crank,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050080F,050080F,Screw Block,2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050081F,050081F,Spring,2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050083F,050083F,Cable Drum,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050086F,050086F,Head Bushing,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050090F,050090F,Spacer Bar,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050093F,050093F,Taper Wheel,2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050094F,050094F,Spool,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050098F,050098F,050098F,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050099F,050099F,Head Bushing,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050109F,050109F,Hub,2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050110F,050110F,050110F,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050113F,050113F,Cutter Block Tube,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050115F,050115F,"Spring, Drive Dog",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050123,050123,Cam,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050128F,050128F,"Bushing, Chain Roller",2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050132F,050132F,"Spring, Cut Off",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050134,050134,Chain Roller,2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050137F,050137F,Cutter Block Clamp,1,name_source=researched,high
TapeTech,07TT,07TT/schematic_data.json,050140F,050140F,"Screw, 6.52 X 5.09",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050141,050141,"Support, Left Chain Roller",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050144F,050144F,Link Tube,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050145,050145,Creaser Chain,1,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050150F,050150F,Hub,2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050154,050154,Bearing Bracket,2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050163,050163,"Guide, Main Chain",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050200,050200,Plastic Piston,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050203,050203,Plunger Cup,1,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050204,050204,Cup Washer,1,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050205,050205,"Cup Bolt, 1/4-20 X 7/8 Hex Head",1,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050212F,050212F,Nut,1,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050229,050229,Band,1,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050244,050244,Spool,1,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050249,050249,Creaser Connector,1,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050402B,050402B,"Band Clamp, Black",2,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data_004.json,050403B,050403B,050403B,1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050405B,050405B,"Keeper Axle, Black",1,name_source=frontend,high
TapeTech,07TT,07TT/schematic_data.json,050410B,050410B,"Control Tube Flange, Black",2,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050412,050412,Wheel Keeper Wireform,4,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
TapeTech,07TT,07TT/schematic_data.json,050413,050413,Control Tube Wheel,8,name_source=frontend; duplicate_schematic_keys=07TT/schematic_data.json|07TT/schematic_data_004.json,high
