Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Tools,,,Automatic Tapers,simple,<p>Automatic Tapers by Columbia Tools.</p>,Automatic Tapers by Columbia Tools.,,,images/automatic-tapers/automatic_tapers_01.webp,Drywall Finishing Tools > Columbia Tools > Automatic Tapers,"Columbia Tools, Automatic, Tapers, Automatic Tapers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Automatic Tapers |  | Columbia Tools,Professional Automatic Tapers by Columbia Tools. Automatic Tapers drywall taping tool for contractors.
Columbia Tools,PTAPER,PTAPER,Columbia One Predator Taper,simple,"<p>The Predator is the world’s first Carbon Fiber Taper and the benefits that come with this are endless. The Columbia Taper is a precision built tool that has been perfected over 38 years, but now it is also significantly lighter than all other tapers on the market and dent proof. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to our easy to remove cap for cleaning, this tool will not let you down. Stainless steel side plates and cable drum and creaser arms offer a lifetime of corrosion resistance. The Patent Pending Pump Action cutting sleeve gives the operator a smoother glide over teflon bearings, superb grip and the pull ring is great for higher ceilings. The Predator maintains it’s stable temperature and remains warm to the touch. Every taper comes standard with an adjustable brake and quick release for tape changing. The Titanium pull rod is just another detail that adds style and edge to this innovative, unique taper. If you are serious about taping and care how a taper feels and performs this is the one for you.</p>
<h4>FEATURES:</h4>
<ul>
<li>Handmade from Carbon Fiber and steel components</li>
<li>Titanium pull rod</li>
<li>Adjustable Brake</li>
<li>Quick release for tape changing</li>
<li>Reduced Drag system for corners</li>
<li>Stainless steel side plates, creaser arms and cable drum</li>
<li>Quick release cap</li>
<li>NEW Very smooth Patent Pending Pump Action cutting system with a roller chain</li>
<li>53″ in length</li>
<li>Machined in our state of the art factory in Canada</li>
</ul>
<h4>DOWNLOADS:</h4>
<p><br />
<br />
<br />
</p>","The Predator is the world’s first Carbon Fiber Taper and the benefits that come with this are endless. The Columbia Taper is a precision built tool that has been perfected over 38 years, but now it…",,,images/automatic-tapers/ptaper_01.webp|images/automatic-tapers/ptaper_02.webp|images/automatic-tapers/ptaper_03.webp|images/automatic-tapers/ptaper_04.webp,Drywall Finishing Tools > Columbia Tools > Automatic Tapers,"Columbia Tools, PTAPER, Columbia, Predator, Taper, Automatic Tapers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Columbia One Predator Taper | PTAPER | Columbia Tools,Professional Columbia One Predator Taper by Columbia Tools. Automatic Tapers drywall taping tool for contractors.
Columbia Tools,TAPER,TAPER,Automatic Taper,simple,"<p>The Columbia Automatic Taper is a precision built tool that has been perfected over 40 years. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to any easy to remove cap for cleaning, this tool will not let you down. A hard anodized tube eliminates the track lines that occur on so many other tools. Stainless steel side plates and cable drum and creaser arms offer a lifetime of corrosion resistance. The NEW Patent Pending Pump Action Sleeve gives the operator the smoothest cut on the market and the pull ring is great for higher ceilings. Every taper comes standard with an adjustable brake and quick release for tape changing. If you are serious about taping and care how a taper feels and performs this is the one for you.</p>
<h4>FEATURES:</h4>
<ul>
<li>Handmade from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
<li>Now with NEW Pump Action Sleeve – smoothest cutting sleeve on the market</li>
<li>Adjustable Brake</li>
<li>Quick release for tape changing</li>
<li>Zero Drag system for corners</li>
<li>Hard anodized tube</li>
<li>Stainless steel side plates, creaser arms and cable drum</li>
<li>Quick release cap</li>
</ul>
<h4>DOWNLOADS:</h4>
<p><br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
</p>",The Columbia Automatic Taper is a precision built tool that has been perfected over 40 years. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to any…,,,images/automatic-tapers/taper_01.webp|images/automatic-tapers/taper_02.webp|images/automatic-tapers/taper_03.webp|images/automatic-tapers/taper_04.webp|images/automatic-tapers/taper_05.webp|images/automatic-tapers/taper_06.webp,Drywall Finishing Tools > Columbia Tools > Automatic Tapers,"Columbia Tools, TAPER, Automatic, Automatic Tapers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Automatic Taper | TAPER | Columbia Tools,Professional Automatic Taper by Columbia Tools. Automatic Tapers drywall taping tool for contractors.
Columbia Tools,STAPER,STAPER,Sawed Off Taper,variable,"<p>The Columbia Automatic Taper is a precision built tool that is back by popular demand. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to any easy to remove cap for cleaning, this tool will not let you down. A hard anodized tube eliminates the track lines that occur on so many other tools. Stainless steel side plates and cable drum and creaser arms offer a lifetime of corrosion resistance. Every taper comes standard with an adjustable brake and quick release for tape changing. At 39″, this taper is perfect for tight spaces such as stairwells, closets, scaffold and low ceilings. If you are serious about taping and care how a taper feels and performs this is the one for you.</p>
<h4>FEATURES:</h4>
<ul>
<li>39″ compared to a regular taper at 53″</li>
<li>Holds a 500ft roll of standard tape</li>
<li>Handmade from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
<li>Now with NEW Pump Action Sleeve – smoothest cutting sleeve on the market</li>
<li>Adjustable Brake</li>
<li>Quick release for tape changing</li>
<li>Zero Drag system for corners</li>
<li>Hard anodized tube</li>
<li>Stainless steel side plates, creaser arms and cable drum</li>
<li>Quick release cap</li>
</ul>
<h4>DOWNLOADS:</h4>
<p><br />
<br />
<br />
<br />
<br />
<br />
</p>",The Columbia Automatic Taper is a precision built tool that is back by popular demand. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to any easy to…,,,images/automatic-tapers/staper_01.webp|images/automatic-tapers/staper_02.webp|images/automatic-tapers/staper_03.webp|images/automatic-tapers/staper_04.webp|images/automatic-tapers/staper_05.webp,Drywall Finishing Tools > Columbia Tools > Automatic Tapers,"Columbia Tools, STAPER, SPTAPER, Sawed, Taper, Automatic Tapers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,SKU,STAPER|SPTAPER,1,1,Sawed Off Taper | STAPER | Columbia Tools,Professional Sawed Off Taper by Columbia Tools. Automatic Tapers drywall taping tool for contractors.
Columbia Tools,STAPER,STAPER,Sawed Off Taper – STAPER,variation,,,,,images/automatic-tapers/staper_01.webp|images/automatic-tapers/staper_02.webp|images/automatic-tapers/staper_03.webp|images/automatic-tapers/staper_04.webp|images/automatic-tapers/staper_05.webp,Drywall Finishing Tools > Columbia Tools > Automatic Tapers,"Columbia Tools, STAPER, SPTAPER, Sawed, Taper, Automatic Tapers",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,STAPER,,,,,,SKU,STAPER,1,1,,
Columbia Tools,SPTAPER,SPTAPER,Sawed Off Taper – SPTAPER,variation,,,,,images/automatic-tapers/staper_01.webp|images/automatic-tapers/staper_02.webp|images/automatic-tapers/staper_03.webp|images/automatic-tapers/staper_04.webp|images/automatic-tapers/staper_05.webp,Drywall Finishing Tools > Columbia Tools > Automatic Tapers,"Columbia Tools, STAPER, SPTAPER, Sawed, Taper, Automatic Tapers",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,STAPER,,,,,,SKU,SPTAPER,1,1,,
