filename,white_ratio,face_count,action,reason
03tt_01.webp,0.940948,0,keep,
03tt_02.webp,0.945877,0,keep,
050017_01.webp,0.923080,0,keep,
050019_01.webp,0.851944,0,keep,
050023f_01.webp,0.932434,0,keep,
050027_01.webp,0.954147,0,keep,
050030_01.webp,0.901291,0,keep,
050031_01.webp,0.834351,0,keep,
050034f_01.webp,0.973083,0,keep,
050041f_01.webp,0.881073,0,keep,
050043f_01.webp,0.923218,0,keep,
050046_01.webp,0.618668,0,keep,
050050f_01.webp,0.840271,0,keep,
050063_01.webp,0.932800,0,keep,
050064f_01.webp,0.915955,0,keep,
050070f_01.webp,0.887817,0,keep,
050072f_01.webp,0.822968,0,keep,
050073_01.webp,0.879547,0,keep,
050079_01.webp,0.756363,0,keep,
050083f_01.webp,0.816422,0,keep,
050086f_01.webp,0.657578,0,keep,
050094f_01.webp,0.691406,0,keep,
050099f_01.webp,0.553467,0,keep,
050109f_01.webp,0.711121,0,keep,
050110f_01.webp,0.928650,0,keep,
050113f_01.webp,0.851257,0,keep,
050123_01.webp,0.902130,0,keep,
050128f_01.webp,0.895981,0,keep,
050137f_01.webp,0.711502,0,keep,
050140f_01.webp,0.956696,0,keep,
050141_01.webp,0.799103,0,keep,
050144f_01.webp,0.955338,0,keep,
050145_01.webp,0.000000,0,remove,non_white_background
050150f_01.webp,0.731598,0,keep,
050154_01.webp,0.873123,0,keep,
050163_01.webp,0.786316,0,keep,
050200_01.webp,0.634583,0,keep,
050204_01.webp,0.324005,0,keep,
050205_01.webp,0.843307,0,keep,
050212f_01.webp,0.932693,0,keep,
050244_01.webp,0.365967,0,keep,
050249_01.webp,0.970947,0,keep,
050402b_01.webp,0.897339,0,keep,
050405b_01.webp,0.953201,0,keep,
050410b_01.webp,0.836624,0,keep,
050412_01.webp,0.956329,0,keep,
050413_01.webp,0.906601,0,keep,
050500_01.webp,0.981216,0,keep,
050577_01.webp,0.971832,0,keep,
051001_01.webp,0.869217,0,keep,
051089_01.webp,0.910904,0,keep,
051105_01.webp,0.897720,0,keep,
051135_01.webp,0.846252,0,keep,
052011_01.webp,0.769577,0,keep,
052036_01.webp,0.779953,0,keep,
052051_01.webp,0.904358,0,keep,
052052_01.webp,0.878326,0,keep,
052055_01.webp,0.695648,0,keep,
052080_01.webp,0.265625,0,keep,
052121f_01.webp,0.918259,0,keep,
052150_01.webp,0.661087,0,keep,
052152_01.webp,0.627914,0,keep,
052214_01.webp,0.882675,0,keep,
052221_01.webp,0.575592,0,keep,
052226_01.webp,0.492447,0,keep,
052229_01.webp,0.827438,0,keep,
052400b_01.webp,0.888702,0,keep,
052401b_01.webp,0.570206,0,keep,
052403_01.webp,0.910446,0,keep,
052404b_01.webp,0.620880,0,keep,
052407b_01.webp,0.775757,0,keep,
052408_01.webp,0.823944,0,keep,
052409_01.webp,0.964600,0,keep,
052415a_01.webp,0.723480,0,keep,
052576_01.webp,0.973129,0,keep,
054028_01.webp,0.884201,0,keep,
054032f_01.webp,0.771469,0,keep,
054048f_01.webp,0.653015,0,keep,
054059f_01.webp,0.768631,0,keep,
054075_01.webp,0.593369,0,keep,
054095f_01.webp,0.876587,0,keep,
054096f_01.webp,0.882446,0,keep,
054101_01.webp,0.877533,0,keep,
054104_01.webp,0.593353,0,keep,
054114f_01.webp,0.669830,0,keep,
054116f_01.webp,0.936890,0,keep,
054209f-6_01.webp,0.861572,0,keep,
054219_01.webp,0.826675,0,keep,
054245f_01.webp,0.766205,0,keep,
056022_01.webp,0.928467,0,keep,
056100f_01.webp,0.736328,0,keep,
056142_01.webp,0.934662,0,keep,
056248g_01.webp,0.953156,0,keep,
056707_01.webp,0.690735,0,keep,
058126f_01.webp,0.824036,0,keep,
059005_01.webp,0.885101,0,keep,
059013_01.webp,0.895584,0,keep,
059014_01.webp,0.910141,0,keep,
059021_01.webp,0.925842,0,keep,
059024_01.webp,0.851669,0,keep,
059029_01.webp,0.903534,0,keep,
059044_01.webp,0.723724,0,keep,
059047_01.webp,0.929245,0,keep,
059060_01.webp,0.851959,0,keep,
059061f_01.webp,0.848267,0,keep,
059067_01.webp,0.828934,0,keep,
059074_01.webp,0.668823,0,keep,
059085_01.webp,0.842575,0,keep,
059091_01.webp,0.849274,0,keep,
059092_01.webp,0.894379,0,keep,
059098_01.webp,0.897247,0,keep,
059106_01.webp,0.953568,0,keep,
059107_01.webp,0.848923,0,keep,
059119_01.webp,0.938416,0,keep,
059120_01.webp,0.914597,0,keep,
059129_01.webp,0.907150,0,keep,
059161_01.webp,0.893509,0,keep,
059164_01.webp,0.871750,0,keep,
059206_01.webp,0.710419,0,keep,
059217_01.webp,0.860123,0,keep,
059225_01.webp,0.795547,0,keep,
059230_01.webp,0.852249,0,keep,
059238_01.webp,0.831284,0,keep,
059264_01.webp,0.906265,0,keep,
059323_01.webp,0.975571,0,keep,
059331_01.webp,0.967880,0,keep,
059332_01.webp,0.966812,0,keep,
059426_01.webp,0.980133,0,keep,
07tt-c_01.webp,0.862701,0,keep,
07tt-c_02.webp,0.940887,0,keep,
