Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Tools,,,Smoothing Blades,simple,<p>Smoothing Blades by Columbia Tools.</p>,Smoothing Blades by Columbia Tools.,,,images/smoothing-blades/img_01.webp,Drywall Finishing Tools > Columbia Tools > Smoothing Blades,"Columbia Tools, Smoothing, Blades, Smoothing Blades",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Smoothing Blades |  | Columbia Tools,Professional Smoothing Blades by Columbia Tools. Smoothing Blades drywall taping tool for contractors.
Columbia Tools,TSB-SIZE,TSB-SIZE,Tomahawk Smoothing Blades,simple,"<p>The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn’t snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade.</p>
<h4>FEATURES:</h4>
<ul>
<li>9 sizes: 7″, 10″, 12″, 14″, 18″, 24″, 32″, 40″ &amp; 48″</li>
<li>Works with a Flat Box handle or use the CLTHA adaptor for the Columbia One handle</li>
<li>Interchangeable blades – keep the body, switch out blade when damaged or worn</li>
<li>Billet machined in our state of the art facility in Canada</li>
</ul>
<h4></h4>","The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn’t snap under pressure. And because the blades use a Flat Box…",,,images/smoothing-blades/tsb_size_01.webp|images/smoothing-blades/tsb_size_02.webp|images/smoothing-blades/tsb_size_03.webp|images/smoothing-blades/tsb_size_04.webp|images/smoothing-blades/tsb_size_05.webp,Drywall Finishing Tools > Columbia Tools > Smoothing Blades,"Columbia Tools, TSB-SIZE, Tomahawk, Smoothing, Blades, Smoothing Blades",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Tomahawk Smoothing Blades | TSB-SIZE | Columbia Tools,Professional Tomahawk Smoothing Blades by Columbia Tools. Smoothing Blades drywall taping tool for contractors.
Columbia Tools,CLTHA,CLTHA,Tomalock,simple,"<p>The Columbia Tomalock is a handle adapter used with the Tomahawk set of Smoothing Blades. With no plastic pieces, the Tomalock doesn’t snap under pressure or the weight of the larger blades. This also increases the stability. The quick release allows you to easily and steadily adjust the angle of attack. The Columbia Tomahawk, combined the Tomalock and the Columbia One Handle, will change what the industry expects from a professional grade Smoothing Blade.</p>
<h4>FEATURES:</h4>
<ul>
<li>Handle adaptor that allows the user to utilize the Columbia One Handle system with the Tomahawk Smoothing Blades</li>
<li>No plastic parts</li>
<li>Quick release allows ease of angle adjustment</li>
<li>Billet machined in our state of the art facility in Canada</li>
</ul>","The Columbia Tomalock is a handle adapter used with the Tomahawk set of Smoothing Blades. With no plastic pieces, the Tomalock doesn’t snap under pressure or the weight of the larger blades. This…",,,images/smoothing-blades/cltha_01.webp|images/smoothing-blades/cltha_02.webp|images/smoothing-blades/cltha_03.webp|images/smoothing-blades/cltha_04.webp,Drywall Finishing Tools > Columbia Tools > Smoothing Blades,"Columbia Tools, CLTHA, Tomalock, Smoothing Blades",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Tomalock | CLTHA | Columbia Tools,Professional Tomalock by Columbia Tools. Smoothing Blades drywall taping tool for contractors.
Columbia Tools,SSB-SIZE,SSB-SIZE,Sabre Smoothing Blades,simple,"<p>Columbia has answered the call from our customers looking for a lighter/more affordable version of the Tomahawk Smoothing Blades. The Sabre Smoothing Blades still offer a precise finish but by no means does this product replace the Tomahawk&rsquo;s being our premium option. It is our solution to Columbia Customers looking for a lighter/more affordable option. The body profile remains the same as the Tomahawk&rsquo;s but is made from high quality plastic rather than billet aluminium.</p>
<p>One of the standout features of the Sabre Smoothing Blades is their remarkable weight&mdash;around 60% lighter than the Tomahawk Smoothing Blades&mdash;making them easier to maneuvre and control. Additionally, they offer a competitive price point costing around 40% less allowing you to choose the right tool for your needs without compromise.</p>
<p>Whether you prefer manual use or want to enhance your reach with a Sabre Extension pole (using the Sabre Claw adapter), the Sabre Smoothing Blades deliver perfectly even usage and smoothness across the entire length of the blade. Their ergonomic and lightweight design ensures that you can work efficiently without fatigue.</p>
<p>FEATURES:</p>
<ul>
<li>10 sizes: 7″, 10″, 12″, 14″, 16″, 18″, 24″, 32″, 40″ &amp; 48″</li>
<li>Works with by hand or with the Sabre Claw Adapter (SBC) adaptor for the Sabre Pole (SBP)</li>
<li>Hardened Stainless Steel Blade: Durable and ultra-abrasion resistant for long-lasting performance.</li>
<li>Rounded Anti-Trace Edges: Designed to minimise marks and imperfections.</li>
<li>High-Performance Bi-Flex Technology: Featuring a PVC plate for enhanced flexibility and control.</li>
</ul>",Columbia has answered the call from our customers looking for a lighter/more affordable version of the Tomahawk Smoothing Blades. The Sabre Smoothing Blades still offer a precise finish but by no…,,,images/smoothing-blades/ssb_size_01.webp|images/smoothing-blades/ssb_size_02.webp|images/smoothing-blades/ssb_size_03.webp,Drywall Finishing Tools > Columbia Tools > Smoothing Blades,"Columbia Tools, SSB-SIZE, Sabre, Smoothing, Blades, Smoothing Blades",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Sabre Smoothing Blades | SSB-SIZE | Columbia Tools,Professional Sabre Smoothing Blades by Columbia Tools. Smoothing Blades drywall taping tool for contractors.
