Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Tools,,,Finishing Boxes,simple,<p>Finishing Boxes by Columbia Tools.</p>,Finishing Boxes by Columbia Tools.,,,images/finishing-boxes/finishing_boxes_01.webp,Drywall Finishing Tools > Columbia Tools > Finishing Boxes,"Columbia Tools, Finishing, Boxes, Finishing Boxes",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Finishing Boxes |  | Columbia Tools,Professional Finishing Boxes by Columbia Tools. Finishing Boxes drywall taping tool for contractors.
Columbia Tools,FLATBOXES,FLATBOXES,Flat Boxes,simple,"<p>(5.5FFB, 7FFB, 8FFB, 10FFB, 12FFB, 14FFB)</p>
<p>Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5&rdquo; specialty box to our 14&rdquo; they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been being told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Flat Box we make exceeds your expectations.</p>
<h4>FEATURES:</h4>
<ul>
<li>Available in 5.5″, 7″, 8″, 10″, 12″ and now 14″ sizes</li>
<li>Manual sweeping grip for tight spaces when you cannot actuate the box handle (not on the 5.5″ box)</li>
<li>Bead wheel protects axel from wear while running box on bead</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>
<h4>DOWNLOADS:</h4>
<p><br />
<br />
<br />
<br />
</p>","(5.5FFB, 7FFB, 8FFB, 10FFB, 12FFB, 14FFB) Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5” specialty box to our 14” they are all star performers. Well-built and…",,,images/finishing-boxes/flatboxes_01.webp|images/finishing-boxes/flatboxes_02.webp|images/finishing-boxes/flatboxes_03.webp,Drywall Finishing Tools > Columbia Tools > Finishing Boxes,"Columbia Tools, FLATBOXES, Flat, Boxes, Finishing Boxes",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Flat Boxes | FLATBOXES | Columbia Tools,Professional Flat Boxes by Columbia Tools. Finishing Boxes drywall taping tool for contractors.
Columbia Tools,FATBOYBOXES,FATBOYBOXES,Fat Boy Boxes,simple,"<p>Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they’re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations.</p>
<h4>FEATURES:</h4>
<ul>
<li>Available in 5.5″, 8″, 10″, 12″ sizes</li>
<li>Bead wheel protects axel from wear while running box on bead</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>
<h4>DOWNLOADS:</h4>
<p><br />
<br />
</p>","Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great…",,,images/finishing-boxes/fatboyboxes_01.webp|images/finishing-boxes/fatboyboxes_02.webp|images/finishing-boxes/fatboyboxes_03.webp,Drywall Finishing Tools > Columbia Tools > Finishing Boxes,"Columbia Tools, FATBOYBOXES, Boxes, Finishing Boxes",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Fat Boy Boxes | FATBOYBOXES | Columbia Tools,Professional Fat Boy Boxes by Columbia Tools. Finishing Boxes drywall taping tool for contractors.
Columbia Tools,AUTOMATICFLATBOXES,AUTOMATICFLATBOXES,Automatic Flat Boxes,simple,"<p>(8FFBA, 10FFBA, 12FFBA, 14FFBA &amp; 8FBBA, 10FBBA, 12FBBA)</p>
<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p>
<p>Note: Columbia Automatic Boxes do not fit in Road Case.</p>
<h4>FEATURES:</h4>
<ul>
<li>Available in 8″, 10″, 12″ &amp; 14″ regular and 8″, 10″ &amp; 12″ Fat Boy sizes</li>
<li>Engaging axel creates pressure on mud release</li>
<li>Over 50% easier to push</li>
<li>Great for vertical flats</li>
<li>Bead wheel protects axel from wear while running box on bead</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>
<h4>DOWNLOADS:</h4>
<p></p>
<p></p>","(8FFBA, 10FFBA, 12FFBA, 14FFBA & 8FBBA, 10FBBA, 12FBBA) Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on…",,,images/finishing-boxes/automaticflatboxes_01.webp|images/finishing-boxes/automaticflatboxes_02.webp,Drywall Finishing Tools > Columbia Tools > Finishing Boxes,"Columbia Tools, AUTOMATICFLATBOXES, Automatic, Flat, Boxes, Finishing Boxes",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Automatic Flat Boxes | AUTOMATICFLATBOXES | Columbia Tools,Professional Automatic Flat Boxes by Columbia Tools. Finishing Boxes drywall taping tool for contractors.
Columbia Tools,ITC-K,ITC-K,Inside Track Conversion Kits,simple,"<p>Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5&rdquo; specialty box to our 14&rdquo;, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push.</p>
<p>Use this kit to convert any box (with the exception of automatic boxes) from a regular axel box to an inside track box. Best used on hard to finish areas like bead, butt joints that aren’t fully dry and ceiling pot lights, this box is sure to make your tricky areas much simpler. We are very proud to get this feedback and will make sure that every Flat Box we make exceeds your expectations.</p>
<h4>FEATURES:</h4>
<ul>
<li>Available for 5.5″, 7″,&nbsp; 8″, 10″, 12″ and 14″ sizes</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
<li>Not available on automatic boxes</li>
</ul>
<h4>DOWNLOADS:</h4>
<p></p>","Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5” specialty box to our 14”, they are all star performers. Well-built and fine-tuned to offer great flat joints…",,,images/finishing-boxes/itc_k_01.webp|images/finishing-boxes/itc_k_02.webp|images/finishing-boxes/itc_k_03.webp|images/finishing-boxes/itc_k_04.webp,Drywall Finishing Tools > Columbia Tools > Finishing Boxes,"Columbia Tools, ITC-K, Inside, Track, Conversion, Kits, Finishing Boxes",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Inside Track Conversion Kits | ITC-K | Columbia Tools,Professional Inside Track Conversion Kits by Columbia Tools. Finishing Boxes drywall taping tool for contractors.
