Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Tools,,,Corner Rollers,simple,<p>Corner Rollers by Columbia Tools.</p>,Corner Rollers by Columbia Tools.,,,images/corner-rollers/corner_rollers_01.webp,Drywall Finishing Tools > Columbia Tools > Corner Rollers,"Columbia Tools, Corner, Rollers, Corner Rollers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Corner Rollers |  | Columbia Tools,Professional Corner Rollers by Columbia Tools. Corner Rollers drywall taping tool for contractors.
Columbia Tools,CC,CC,Corner Cobra,simple,"<p>The Corner Cobra is an amazing time saving tool. It allows the user to roll out No-Coat and other structural corner beads at almost all inside and outside angles. We have heard back from users that it does it quicker and better, which is to us a home run. Another one of our patented products that is changing the time it takes to finish a job.</p>
<h4>FEATURES:</h4>
<ul>
<li>Works on inside and outside angles from 85 to 180 degrees</li>
<li>Sets No-Coat 350 and 425 as well as regular tapes</li>
<li>Tracks the centre and outside edge leaving only a knife feather</li>
<li>Fits Corner Roller handles</li>
<li>Shocks allow for imperfect angles and settings</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>",The Corner Cobra is an amazing time saving tool. It allows the user to roll out No-Coat and other structural corner beads at almost all inside and outside angles. We have heard back from users that…,,,images/corner-rollers/cc_01.webp|images/corner-rollers/cc_02.webp,Drywall Finishing Tools > Columbia Tools > Corner Rollers,"Columbia Tools, CC, Corner, Cobra, Corner Rollers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Corner Cobra | CC | Columbia Tools,Professional Corner Cobra by Columbia Tools. Corner Rollers drywall taping tool for contractors.
Columbia Tools,CR,CR,Inside Corner Roller,simple,"<p>Our Inside Corner Roller offers the easiest roll in the industry. With our split wheel design tapes do not drag upon initial contact. The tape immediately imbeds in the corner with all unneeded compound being pushed out from behind.</p>
<h4>FEATURES:</h4>
<ul>
<li>Innovative split wheel design</li>
<li>Cast aluminum body</li>
<li>Hand made from U.S. aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>",Our Inside Corner Roller offers the easiest roll in the industry. With our split wheel design tapes do not drag upon initial contact. The tape immediately imbeds in the corner with all unneeded…,,,images/corner-rollers/cr_01.webp|images/corner-rollers/cr_02.webp,Drywall Finishing Tools > Columbia Tools > Corner Rollers,"Columbia Tools, CR, Inside, Corner, Roller, Corner Rollers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Inside Corner Roller | CR | Columbia Tools,Professional Inside Corner Roller by Columbia Tools. Corner Rollers drywall taping tool for contractors.
Columbia Tools,COBCR,COBCR,Standard Outside Corner Roller,simple,"<p>Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster.</p>
<p>COBCR &ndash; Standard = 1.750&rdquo;</p>
<h4>FEATURES:</h4>
<ul>
<li>Available in Standard, Bullnose, Wide and Micro (European)</li>
<li>Hand made from U.S. aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>","Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster. COBCR – Standard = 1.750” FEATURES: Available in Standard, Bullnose, Wide…",,,images/corner-rollers/cobcr_01.webp|images/corner-rollers/cobcr_02.webp,Drywall Finishing Tools > Columbia Tools > Corner Rollers,"Columbia Tools, COBCR, Standard, Outside, Corner, Roller, Corner Rollers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Standard Outside Corner Roller | COBCR | Columbia Tools,Professional Standard Outside Corner Roller by Columbia Tools. Corner Rollers drywall taping tool for contractors.
Columbia Tools,CBNCR,CBNCR,Bullnose Outside Corner Roller,simple,"<p>Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster.</p>
<p>CBNCR &ndash; Bullnose = 1.750&rdquo;</p>
<h4>FEATURES:</h4>
<ul>
<li>Available in Standard, Bullnose, Wide and Micro (European)</li>
<li>Hand made from U.S. aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>","Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster. CBNCR – Bullnose = 1.750” FEATURES: Available in Standard, Bullnose, Wide…",,,images/corner-rollers/cbncr_01.webp,Drywall Finishing Tools > Columbia Tools > Corner Rollers,"Columbia Tools, CBNCR, Bullnose, Outside, Corner, Roller, Corner Rollers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Bullnose Outside Corner Roller | CBNCR | Columbia Tools,Professional Bullnose Outside Corner Roller by Columbia Tools. Corner Rollers drywall taping tool for contractors.
Columbia Tools,COBCRW,COBCRW,Wide Outside Corner Roller,simple,"<p>Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster.</p>
<p>COBCRW – Wide = 1.930&rdquo;</p>
<h4>FEATURES:</h4>
<ul>
<li>Available in Standard, Bullnose, Wide and Micro (European)</li>
<li>Hand made from U.S. aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>","Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster. COBCRW – Wide = 1.930” FEATURES: Available in Standard, Bullnose, Wide and…",,,images/corner-rollers/cobcrw_01.webp|images/corner-rollers/cobcrw_02.webp,Drywall Finishing Tools > Columbia Tools > Corner Rollers,"Columbia Tools, COBCRW, Wide, Outside, Corner, Roller, Corner Rollers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Wide Outside Corner Roller | COBCRW | Columbia Tools,Professional Wide Outside Corner Roller by Columbia Tools. Corner Rollers drywall taping tool for contractors.
Columbia Tools,COBCRE,COBCRE,European/Micro Outside Corner Roller,simple,"<p>Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster.</p>
<p>COBCRE &ndash; European/Micro = 1.170&rdquo;</p>
<h4>FEATURES:</h4>
<ul>
<li>Available in Standard, Bullnose, Wide and Micro (European)</li>
<li>Hand made from U.S. aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>","Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster. COBCRE – European/Micro = 1.170” FEATURES: Available in Standard,…",,,images/corner-rollers/cobcre_01.webp,Drywall Finishing Tools > Columbia Tools > Corner Rollers,"Columbia Tools, COBCRE, EuropeanMicro, Outside, Corner, Roller, Corner Rollers",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,European/Micro Outside Corner Roller | COBCRE | Columbia Tools,Professional European/Micro Outside Corner Roller by Columbia Tools. Corner Rollers drywall taping tool for contractors.
