Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Tools,,,Hand Tools,simple,<p>Hand Tools by Columbia Tools.</p>,Hand Tools by Columbia Tools.,,,images/hand-tools/hand_tools_01.webp,Drywall Finishing Tools > Columbia Tools > Hand Tools,"Columbia Tools, Hand, Tools, Hand Tools",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Hand Tools |  | Columbia Tools,Professional Hand Tools by Columbia Tools. Hand Tools drywall taping tool for contractors.
Columbia Tools,PUTTYKNIVES,PUTTYKNIVES,Putty Knives,simple,<p>Putty Knives by Columbia Tools.</p>,Putty Knives by Columbia Tools.,,,images/hand-tools/puttyknives_01.webp,Drywall Finishing Tools > Columbia Tools > Hand Tools,"Columbia Tools, PUTTYKNIVES, Putty, Knives, Hand Tools",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Putty Knives | PUTTYKNIVES | Columbia Tools,Professional Putty Knives by Columbia Tools. Hand Tools drywall taping tool for contractors.
Columbia Tools,ONEPIECEPUTTYKNIVESCOPY,ONEPIECEPUTTYKNIVESCOPY,Taping Knives,simple,"<p>Columbia Tools is proud to launch our all-new&nbsp;<strong>Columbia Taping Knives</strong>&nbsp;&ndash; crafted for professionals who demand speed, precision, comfort, and durability on every job.</p>
<p><strong>Stainless for the price of Carbon</strong></p>
<p>Competitively priced, these stainless steel knives offer unbeatable value&mdash;comparable to the cost of carbon steel.</p>
<h3 style=""text-align: center;"">Key Features:</h3>
<ul class=""last-child"">
<li>Our medium-flex&nbsp;<strong>stainless steel blades</strong>&nbsp;glide smoothly across the surface, delivering consistent coats and faster finishing with less fatigue.</li>
<li>Rubberized<strong>&nbsp;comfort grip handle</strong>&nbsp;is shaped to give you maximum control and minimal strain, with the most comfort.</li>
<li><strong>Each handle is double-riveted to a heavy-gauge aluminum back plate</strong>, then over molded for rugged strength and a clean, professional look.</li>
<li>Built with high-performance materials and field-tested design &ndash; these knives are ready to handle the toughest sites and the longest days.</li>
</ul>
<h3 class=""mcePastedContent"" style=""text-align: center;"">Available Sizes &amp; Part #:</h3>
<p class="""">8&rdquo; Columbia Taping Knife – CTK8</p>
<p class="""">10&rdquo; Columbia Taping Knife – CTK10<br />
12&rdquo; Columbia Taping Knife – CTK12<br />
14&rdquo; Columbia Taping Knife – CTK14</p>","Columbia Tools is proud to launch our all-new Columbia Taping Knives – crafted for professionals who demand speed, precision, comfort, and durability on every job. Stainless for the price of Carbon…",,,images/hand-tools/onepieceputtyknivescopy_01.webp|images/hand-tools/onepieceputtyknivescopy_02.webp|images/hand-tools/onepieceputtyknivescopy_03.webp|images/hand-tools/onepieceputtyknivescopy_04.webp|images/hand-tools/onepieceputtyknivescopy_05.webp,Drywall Finishing Tools > Columbia Tools > Hand Tools,"Columbia Tools, ONEPIECEPUTTYKNIVESCOPY, Taping, Knives, Hand Tools",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Taping Knives | ONEPIECEPUTTYKNIVESCOPY | Columbia Tools,Professional Taping Knives by Columbia Tools. Hand Tools drywall taping tool for contractors.
Columbia Tools,MUDPANS,MUDPANS,Mud Pans,simple,"<p><strong>Order now to be ready for the Launch on December 15, 2024!</strong></p>
<p>Introducing the Columbia Mud Pan&mdash;the first in our new line of premium hand tools, designed for professionals who demand durability, comfort, and performance. Crafted from heavy-gauge stainless steel, this mud pan is built to withstand the toughest tasks, while its watertight, laser-welded seams ensure long-lasting reliability. With tapered ends and sides for a secure grip, this tool is ready to handle any job with ease. Plus, every Columbia Mud Pan comes with a free soft, non-slip rubber grip for enhanced comfort and ease of use.</p>
<p>Now available in three convenient sizes&mdash;12″, 14″, and 16″&mdash;there&rsquo;s a Columbia Mud Pan perfect for any project. The mud pans are sold in packs of 6 to dealers, but you have the flexibility to sell them individually to your customers.</p>
<p><strong>Lifetime Warranty:</strong></p>
<p>We stand by the quality and craftsmanship of our products. Each Columbia Mud Pan is backed by a lifetime warranty, ensuring you can rely on it for years of hard work.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>Heavy-Gauge Stainless Steel: Engineered for strength and longevity, this mud pan resists wear and tear for reliable, long-term use.</li>
<li>Watertight Laser-Welded Seams: Prevents leaks, even under heavy-duty conditions, for consistent performance.</li>
<li>Comfortable Grip: Tapered ends and sides provide a secure, ergonomic hold for better control and comfort.</li>
<li>Straight Edges: Ideal for wiping joint knives clean, ensuring a mess-free and efficient work process.</li>
<li>Complimentary Rubber Grip: Every Columbia Mud Pan comes with a FREE soft, non-slip rubber grip for enhanced comfort and ease of use&mdash;adding even more value to this already premium tool.</li>
<li>Available in 12″, 14″, and 16″ Sizes: Choose the right size for your specific needs and project requirements.</li>
</ul>
<p class=""last-child"">The Columbia Mud Pan&mdash;designed for pros, built to last. Available for order now.</p>
<p><strong>Individual Part Numbers:</strong></p>
<p>12&rdquo; Columbia Mud Pan 6 Pack – C12MP-6</p>
<p>14&rdquo; Columbia Mud Pan 6 Pack – C14MP-6</p>
<p>16&rdquo; Columbia Mud Pan 6 Pack- C16MP-6</p>","Order now to be ready for the Launch on December 15, 2024! Introducing the Columbia Mud Pan—the first in our new line of premium hand tools, designed for professionals who demand durability, comfort,…",,,images/hand-tools/mudpans_01.webp|images/hand-tools/mudpans_02.webp|images/hand-tools/mudpans_03.webp,Drywall Finishing Tools > Columbia Tools > Hand Tools,"Columbia Tools, MUDPANS, Pans, Hand Tools",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Mud Pans | MUDPANS | Columbia Tools,Professional Mud Pans by Columbia Tools. Hand Tools drywall taping tool for contractors.
Columbia Tools,COLUMBIAMUDPANS3,COLUMBIAMUDPANS3,Trowels,simple,"<h3 data-ogsc="""">Premium Finishing Trowels</h3>
<p data-start=""0"" data-end=""317"">Introducing Columbia Trowels – engineered for professionals who demand superior flexibility, strength, and control on every job. Built with hardened stainless steel blades and ground edges with round corners, these trowels deliver smooth, consistent results across a wide range of drywall and finishing tasks.</p>
<p data-start=""319"" data-end=""663"">From the ultra-responsive .3 Super-Flex to the robust .7 Pro-Flex Gold, Columbia offers a full line of trowels in sizes from 12″ to 18″, each designed for a specific level of flex and feel. The ultra-light aluminum high-alloy bar ensures exceptional balance, while the ergonomic, replaceable cork handle provides comfort during long hours of use.</p>
<p data-start=""665"" data-end=""756"" data-is-last-node="""" data-is-only-node="""">100% made in Poland, Columbia Trowels are the professional&rsquo;s choice for quality that lasts.</p>
<p data-ogsc=""""><strong>Available Products &amp; Sizes:</strong></p>
<ul>
<li>
<p data-ogsc="""">.7 Pro-Flex Gold Trowel: 12″, 14″, 16″, 18″</p>
<p data-ogsc="""">.7 Curved Gold Trowel: 12″, 14″, 16″</p>
<p data-ogsc="""">.4 Curved Silver Trowel: 12″, 14″</p>
<p data-ogsc="""">.3 Super-Flex Gold Trowel: 12″, 14″</p>
<p data-ogsc=""""><strong>Key Features:</strong></p>
<ul>
<li>
<p data-ogsc="""">Ground Edges &amp; Round Corners</p>
<p data-ogsc="""">Extreme Quality Hardened Stainless Steel Blade</p>
<p data-ogsc="""">Ultra-Light Aluminum High-Alloy Bar</p>
<p data-ogsc="""">Ergonomic &amp; Replaceable Cork Handle</p>
<p data-ogsc="""">100% Made in Poland</p>
<p><strong>Individual Part Numbers:</strong></p>
<p data-ogsc="""">12-4.7-0.7-G-C – 12″ GOLD FINISHING TROWEL</p>
<p data-ogsc="""">14-4.7-0.7-G-C – 14″ GOLD FINISHING TROWEL</p>
<p data-ogsc="""">16-4.7-0.7-G-C – &nbsp;16″ GOLD FINISHING TROWEL</p>
<p data-ogsc="""">18-4.7-0.7-G-C – 18″ GOLD FINISHING TROWEL</p>
<p data-ogsc="""">12-4.7-0.7-G-C-C – 12″ GOLD CURVE TROWEL</p>
<p data-ogsc="""">14-4.7-0.7-G-C-C – 14″ GOLD CURVE TROWEL</p>
<p data-ogsc="""">16-4.7-0.7-G-C-C – 16″ GOLD CURVE TROWEL</p>
<p data-ogsc="""">12-4.7-0.4-S-C-C – 12″ SILVER CURVE TROWEL</p>
<p data-ogsc="""">14-4.7-0.4-S-C-C – 14″ SILVER CURVE TROWEL</p>
<p data-ogsc="""">12-4.3-0.3-G-C – 12″ GOLD FINISHING TROWEL .3MM</p>
<p data-ogsc="""">14-4.3-0.3-G-C – 14″ GOLD FINISHING TROWEL .3MM</p>","Premium Finishing Trowels Introducing Columbia Trowels – engineered for professionals who demand superior flexibility, strength, and control on every job. Built with hardened stainless steel blades…",,,images/hand-tools/columbiamudpans3_01.webp|images/hand-tools/columbiamudpans3_02.webp|images/hand-tools/columbiamudpans3_03.webp|images/hand-tools/columbiamudpans3_04.webp|images/hand-tools/columbiamudpans3_05.webp|images/hand-tools/columbiamudpans3_06.webp|images/hand-tools/columbiamudpans3_07.webp|images/hand-tools/columbiamudpans3_08.webp|images/hand-tools/columbiamudpans3_09.webp|images/hand-tools/columbiamudpans3_10.webp,Drywall Finishing Tools > Columbia Tools > Hand Tools,"Columbia Tools, COLUMBIAMUDPANS3, Trowels, Hand Tools",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Trowels | COLUMBIAMUDPANS3 | Columbia Tools,Professional Trowels by Columbia Tools. Hand Tools drywall taping tool for contractors.
Columbia Tools,FINISHINGHAWKS,FINISHINGHAWKS,Finishing Hawks,simple,"<h3 data-ogsc="""">Finishing Hawk</h3>
<p data-start=""0"" data-end=""251"">Introducing the Columbia Finishing Hawk&mdash;crafted for professional drywall finishers who demand precision, comfort, and control. Designed for smooth gliding while working with a trowel or knife, this 13&rdquo; hawk is built to elevate your finishing workflow.</p>
<p data-start=""253"" data-end=""532"">Made from high-quality aluminum with milled grooves for enhanced grip and material control, it features round corners for safety and smoother handling. The ergonomic, replaceable cork handle and rubber cover offer superior comfort and reduced fatigue during long days on the job.</p>
<p data-start=""534"" data-end=""632"" data-is-last-node="""" data-is-only-node="""">Proudly 100% made in Poland, the Columbia Finishing Hawk is a trusted tool for flawless finishing.</p>
<p data-ogsc=""""><strong>Available Size:</strong></p>
<ul>
<li>
<p data-ogsc="""">13&rdquo;</p>
<p data-ogsc=""""><strong>Key Features:</strong></p>
<ul class=""last-child"">
<li>
<p data-ogsc="""">Round Corners</p>
<p data-ogsc="""">High-Quality Aluminum Plate</p>
<p data-ogsc="""">Milled Grooves</p>
<p data-ogsc="""">Ergonomic &amp; Replaceable Cork Handle</p>
<p data-ogsc="""">Rubber Cover</p>
<p data-ogsc="""">100% Made in Poland</p>
<p><strong>Individual Part Numbers:</strong></p>
<p>13-H-S – 13″ X 13″ HAWK</p>","Finishing Hawk Introducing the Columbia Finishing Hawk—crafted for professional drywall finishers who demand precision, comfort, and control. Designed for smooth gliding while working with a trowel…",,,images/hand-tools/finishinghawks_01.webp|images/hand-tools/finishinghawks_02.webp,Drywall Finishing Tools > Columbia Tools > Hand Tools,"Columbia Tools, FINISHINGHAWKS, Finishing, Hawks, Hand Tools",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Finishing Hawks | FINISHINGHAWKS | Columbia Tools,Professional Finishing Hawks by Columbia Tools. Hand Tools drywall taping tool for contractors.
Columbia Tools,THREEWAYKNIVESCOPY,THREEWAYKNIVESCOPY,Bucket Scoops,simple,"<p>Columbia Tools is proud to introduce our&nbsp;<strong>new line of Bucket Scoops</strong>&nbsp;&ndash; built for durability, comfort, and convenience on the job.</p>
<h3 style=""text-align: center;"">Three Handle Options:</h3>
<ul class=""last-child"">
<li><strong>One-Piece Stainless Steel:</strong>&nbsp;A welded, full tang scoop built tough with all-stainless durability.</li>
<li><strong>Rubberized Comfort Grip:</strong>&nbsp;Our signature ergonomic handle for all-day comfort and control.</li>
<li><strong>Cork Handle:</strong>&nbsp;A lightweight, natural grip designed to sit securely on the top of your bucket when not in use.
<p>Whether you prefer rugged one-piece strength, the comfort of rubber, or the balance of cork, Columbia Bucket Scoops give you the perfect option for your finishing style.</li>
</ul>
<h3 class=""mcePastedContent"" style=""text-align: center;"">Available Sizes &amp; Part #:</h3>
<p class="""">6&rdquo; One Piece Bucket Scoop (stainless steel) – OPBS</p>
<p class="""">6&rdquo; Comfort Grip Bucket Scoop (stainless steel) – CBS2K</p>
<p class="""">6″ Cork Handle Bucket Scoop (stainless steel) – BCNC</p>","Columbia Tools is proud to introduce our new line of Bucket Scoops – built for durability, comfort, and convenience on the job. Three Handle Options: One-Piece Stainless Steel: A welded, full tang…",,,images/hand-tools/threewayknivescopy_01.webp|images/hand-tools/threewayknivescopy_02.webp|images/hand-tools/threewayknivescopy_03.webp|images/hand-tools/threewayknivescopy_04.webp,Drywall Finishing Tools > Columbia Tools > Hand Tools,"Columbia Tools, THREEWAYKNIVESCOPY, Bucket, Scoops, Hand Tools",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Bucket Scoops | THREEWAYKNIVESCOPY | Columbia Tools,Professional Bucket Scoops by Columbia Tools. Hand Tools drywall taping tool for contractors.
Columbia Tools,FATBOYSMOOTHINGBLADES,FATBOYSMOOTHINGBLADES,Fat Boy Smoothing Blades,simple,"<p style=""text-align: center;""><strong>Fat Boy Smoothing Blades</strong></p>
<p style=""text-align: center;""><strong>Available Now</strong></p>
<p style=""text-align: center;"">Columbia is proud to launch the&nbsp;<strong>Fat Boy Smoothing Blades</strong>&mdash;built for comfort, precision, and performance.</p>
<p style=""text-align: center;"">With a lightweight,&nbsp;<strong>rubberized ergonomic grip</strong>&nbsp;to reduce slipping, the Fat Boy delivers smooth, even finishes with control. Its replaceable stainless steel blade offers long-term durability, while the new Fat Boy Smoothing Blade Claw expands your finishing options.</p>
<p style=""text-align: center;"">Two new Fiberglass Telescopic Extension Poles debut alongside the blades. Their snap lock system connects seamlessly with the Fat Boy Adapter and also works with our 2K Handle Mud Rollers, giving unmatched versatility.</p>
<p style=""text-align: center;"">When used by Hand or handles&mdash;the Fat Boy brings efficiency and comfort to every pass.</p>
<h3 style=""text-align: center;"">Key Features:</h3>
<ul class=""last-child"">
<li style=""text-align: center;"">
<p class=""mcePastedContent"" style=""text-align: left;""><strong>Replaceable &nbsp;Stainless Blade</strong>: Long-lasting and ultra-durable.</p>
<p class=""mcePastedContent""><strong>Lightweight &amp; Ergonomic Grip</strong>: Designed for comfort, control, and less fatigue.</p>
<p class=""mcePastedContent""><strong>Rounded Anti-Trace Edges</strong>: Minimize lines and imperfections.</p>
<p class=""mcePastedContent"" style=""text-align: left;""><strong>New Fiberglass Telescopic Poles with Snap Lock</strong>: Extend your reach and work seamlessly with Fat Boy Blades and 2K Handle Mud Rollers.</p>
<h3 class=""mcePastedContent"" style=""text-align: center;"">Available Sizes &amp; Part #:</h3>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blades</strong></p>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;7&rdquo; – FSB7</p>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;10&rdquo; – FSB10</p>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;12&rdquo; – FSB12</p>
<p class=""mcePastedContent"" style=""text-align: center;""><strong>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Fat Boy Smoothing Blade</strong>&nbsp;14&rdquo; – FSB14</p>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;16&rdquo; – FSB16</p>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;18&rdquo; – FSB18</p>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;24&rdquo; – FSB24</p>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade&nbsp;</strong>32&rdquo; – FSB32</p>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;40&rdquo; – FSB40</p>
<p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;48&rdquo; – FSB48</p>
<p class="""" style=""text-align: center;""><strong>FSBC</strong>&nbsp;– Fat Boy Smoothing Blade Claw</p>","Fat Boy Smoothing Blades Available Now Columbia is proud to launch the Fat Boy Smoothing Blades —built for comfort, precision, and performance. With a lightweight, rubberized ergonomic grip to reduce…",,,images/hand-tools/fatboysmoothingblades_01.webp|images/hand-tools/fatboysmoothingblades_02.webp|images/hand-tools/fatboysmoothingblades_03.webp,Drywall Finishing Tools > Columbia Tools > Hand Tools,"Columbia Tools, FATBOYSMOOTHINGBLADES, Smoothing, Blades, Hand Tools",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Fat Boy Smoothing Blades | FATBOYSMOOTHINGBLADES | Columbia Tools,Professional Fat Boy Smoothing Blades by Columbia Tools. Hand Tools drywall taping tool for contractors.
