rel_path,keep,reason,clean_bg,human_likely,white_trans_ratio,border_clean_ratio,skin_ratio,skin_border_ratio
tapetech_8072tt_01.webp,True,keep_clean_bg,True,False,0.850525,0.965333,0.036255,0.0
tapetech_8072tt_02.webp,True,keep_clean_bg,True,False,0.921692,0.969333,0.021484,0.0
tapetech_8072tt_03.webp,True,keep_clean_bg,True,False,0.850586,0.964667,0.036499,0.0
tapetech_8072tt_04.webp,True,keep_clean_bg,True,False,0.922241,0.969333,0.022156,0.0
tapetech_8134tt_01.webp,True,keep_clean_bg,True,False,0.866577,0.946,0.035889,0.004667
tapetech_8134tt_02.webp,True,keep_clean_bg,True,False,0.79718,0.954667,0.048523,0.032
tapetech_8134tt_03.webp,True,keep_clean_bg,True,False,0.724121,0.96,0.026672,0.026667
tapetech_8134tt_04.webp,True,keep_clean_bg,True,False,0.761536,0.95,0.09259,0.039333
tapetech_8134tt_05.webp,True,keep_clean_bg,True,False,0.923279,0.982667,0.010132,0.0
tapetech_8134tt_06.webp,True,keep_clean_bg,True,False,0.98822,1.0,0.003052,0.0
tapetech_8142tt_01.webp,True,keep_clean_bg,True,False,0.924316,0.982667,0.009094,0.0
tapetech_8142tt_02.webp,True,keep_clean_bg,True,False,0.985718,1.0,0.003967,0.0
tapetech_8142tt_03.webp,True,keep_clean_bg,True,False,0.834595,0.951333,0.011047,0.01
tapetech_8154tt_01.webp,True,keep_clean_bg,True,False,0.921997,0.982667,0.011719,0.0
tapetech_8154tt_02.webp,True,keep_clean_bg,True,False,0.982117,1.0,0.005127,0.0
tapetech_8154tt_03.webp,True,keep_clean_bg,True,False,0.833496,0.951333,0.010803,0.011333
tapetech_8172tt_01.webp,True,keep_clean_bg,True,False,0.921997,0.982,0.014038,0.0
tapetech_8172tt_02.webp,True,keep_clean_bg,True,False,0.976318,0.998,0.00708,0.0
tapetech_85t_01.webp,True,keep_clean_bg,True,False,0.799622,0.995333,0.0,0.0
tapetech_85t_02.webp,True,keep_clean_bg,True,False,0.92395,1.0,0.0,0.0
tapetech_85xltt_01.webp,True,keep_clean_bg,True,False,0.846313,0.975333,0.0,0.0
tapetech_85xltt_02.webp,False,remove_non_clean_bg,False,False,0.633972,0.877333,0.0,0.0
tapetech_85xltt_03.webp,False,remove_non_clean_bg,False,False,0.490173,0.827333,0.0,0.0
tapetech_85xltt_04.webp,True,keep_clean_bg,True,False,0.947144,0.998,0.0,0.0
tapetech_85xltt_05.webp,True,keep_clean_bg,True,False,0.9552,1.0,0.0,0.0
tapetech_85xltt_06.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.024658,0.0
tapetech_88tte_01.webp,True,keep_clean_bg,True,False,0.827576,0.95,0.027588,0.0
tapetech_88tte_02.webp,False,remove_non_clean_bg,False,False,0.747742,0.909333,0.006287,0.004
tapetech_88tte_03.webp,False,remove_non_clean_bg,False,False,0.695435,0.932667,0.007202,0.0
tapetech_88tte_04.webp,False,remove_non_clean_bg,False,False,0.682495,0.867333,0.021301,0.009333
tapetech_88tte_05.webp,False,remove_non_clean_bg,False,False,0.740112,0.894667,0.009338,0.014
tapetech_88tte_06.webp,True,keep_clean_bg,True,False,0.976929,1.0,0.008057,0.0
tapetech_88tte_07.webp,True,keep_clean_bg,True,False,0.971558,1.0,0.008057,0.0
tapetech_88tte_08.webp,True,keep_clean_bg,True,False,0.9646,1.0,0.008057,0.0
tapetech_88tte_09.webp,True,keep_clean_bg,True,False,0.885193,0.970667,0.015259,0.0
tapetech_90t_01.webp,True,keep_clean_bg,True,False,0.892944,1.0,0.002869,0.0
tapetech_90t_02.webp,True,keep_clean_bg,True,False,0.88031,0.998667,0.000488,0.0
tapetech_90t_03.webp,True,keep_clean_bg,True,False,0.907288,1.0,0.0,0.0
tapetech_90t_04.webp,True,keep_clean_bg,True,False,0.888,1.0,0.0,0.0
tapetech_atx01tt_01.webp,True,keep_clean_bg,True,False,0.860168,0.961333,0.037537,0.0
tapetech_atx01tt_02.webp,False,remove_human_and_non_clean_bg,False,True,0.282532,0.631333,0.127686,0.190667
tapetech_atx01tt_03.webp,False,remove_human_and_non_clean_bg,False,True,0.352417,0.613333,0.159851,0.159333
tapetech_atx01tt_04.webp,False,remove_human_and_non_clean_bg,False,True,0.385376,0.688,0.236816,0.19
tapetech_atx01tt_05.webp,True,keep_clean_bg,True,False,0.856873,0.982667,0.040039,0.0
tapetech_atx01tt_06.webp,True,keep_clean_bg,True,False,0.948608,1.0,0.008118,0.0
tapetech_atx01tt_07.webp,True,keep_clean_bg,True,False,0.959351,1.0,0.007812,0.0
tapetech_atx01tt_08.webp,True,keep_clean_bg,True,False,0.935303,1.0,0.005981,0.0
tapetech_bh_01.webp,True,keep_clean_bg,True,False,0.834229,0.945333,0.0,0.0
tapetech_bh_02.webp,True,keep_clean_bg,True,False,0.91217,1.0,0.0,0.0
tapetech_bh_03.webp,True,keep_clean_bg,True,False,0.866516,1.0,0.0,0.0
tapetech_bh_04.webp,False,remove_human_and_non_clean_bg,False,True,0.0,0.0,0.270264,0.147333
tapetech_bh_05.webp,False,remove_human_and_non_clean_bg,False,True,0.0,0.0,0.211731,0.126
tapetech_bhe_01.webp,True,keep_clean_bg,True,False,0.845032,0.967333,0.0,0.0
tapetech_bhe_02.webp,True,keep_clean_bg,True,False,0.906616,1.0,0.0,0.0
tapetech_bhe_03.webp,True,keep_clean_bg,True,False,0.849426,1.0,0.0,0.0
tapetech_bhe_04.webp,False,remove_human_and_non_clean_bg,False,True,0.0,0.0,0.270264,0.147333
tapetech_bhe_05.webp,False,remove_human_and_non_clean_bg,False,True,0.0,0.0,0.211731,0.126
tapetech_bhe_06.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.079956,0.034
tapetech_bhe_07.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.028503,0.028
tapetech_bhe_08.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.021301,0.052
tapetech_bhesw_01.webp,True,keep_clean_bg,True,False,0.842346,0.988667,0.0,0.0
tapetech_bhesw_02.webp,True,keep_clean_bg,True,False,0.944641,0.997333,0.0,0.0
tapetech_bhesw_03.webp,False,remove_non_clean_bg,False,False,0.656616,0.932,0.0,0.0
tapetech_bhesw_04.webp,False,remove_non_clean_bg,False,False,0.23175,0.201333,0.161743,0.029333
tapetech_bhesw_05.webp,False,remove_human_and_non_clean_bg,False,True,0.0,0.0,0.252319,0.058667
tapetech_bhesw_06.webp,False,remove_non_clean_bg,False,False,0.000671,0.0,0.076477,0.054667
tapetech_bhesw_07.webp,True,keep_clean_bg,True,False,0.840759,0.98,0.0,0.0
tapetech_bhesw_08.webp,False,remove_human_and_non_clean_bg,False,True,0.0,0.0,0.096741,0.110667
tapetech_ca07tt_01.webp,True,keep_clean_bg,True,False,0.57959,1.0,0.264343,0.0
tapetech_ca07tt_02.webp,True,keep_clean_bg,True,False,0.660278,1.0,0.061096,0.0
tapetech_ca07tt_03.webp,False,remove_non_clean_bg,False,False,0.530762,1.0,0.28479,0.0
tapetech_ca07tt_04.webp,False,remove_human_and_non_clean_bg,False,True,0.420654,0.602667,0.220947,0.312667
tapetech_ca07tt_05.webp,False,remove_non_clean_bg,False,False,0.642944,0.761333,0.019226,0.024667
tapetech_ca07tt_06.webp,False,remove_human_and_non_clean_bg,False,True,0.431335,0.926,0.388184,0.022
tapetech_ca07tt_07.webp,True,keep_clean_bg,True,False,0.634399,0.968667,0.060486,0.0
tapetech_ca07tt_08.webp,True,keep_clean_bg,True,False,0.63855,0.976,0.073303,0.0
tapetech_ca07tt_09.webp,False,remove_non_clean_bg,False,False,0.532776,0.984667,0.158752,0.002
tapetech_ca07tt_10.webp,False,remove_non_clean_bg,False,False,0.545471,0.987333,0.086243,0.0
tapetech_ca07tt_11.webp,False,remove_non_clean_bg,False,False,0.00061,0.0,0.158569,0.0
tapetech_ca08tt_01.webp,True,keep_clean_bg,True,False,0.551758,0.994667,0.327332,0.002
tapetech_ca08tt_02.webp,True,keep_clean_bg,True,False,0.710632,1.0,0.04248,0.0
tapetech_ca08tt_03.webp,True,keep_clean_bg,True,False,0.686157,1.0,0.114319,0.0
tapetech_ca08tt_04.webp,True,keep_clean_bg,True,False,0.70166,1.0,0.204651,0.0
tapetech_ca08tt_05.webp,False,remove_non_clean_bg,False,False,0.457581,0.954,0.403198,0.019333
tapetech_ca08tt_06.webp,True,keep_clean_bg,True,False,0.618835,0.996667,0.047302,0.0
tapetech_ca08tt_07.webp,True,keep_clean_bg,True,False,0.626038,0.994667,0.069336,0.0
tapetech_ca08tt_08.webp,False,remove_non_clean_bg,False,False,0.497681,0.980667,0.056458,0.002
tapetech_ca08tt_09.webp,False,remove_non_clean_bg,False,False,0.516418,0.99,0.1745,0.006667
tapetech_caatt_01.webp,True,keep_clean_bg,True,False,0.670166,0.969333,0.000916,0.0
tapetech_caatt_02.webp,True,keep_clean_bg,True,False,0.704102,0.974,6.1e-05,0.0
tapetech_caatt_03.webp,True,keep_clean_bg,True,False,0.723877,1.0,0.0,0.0
tapetech_caatt_04.webp,True,keep_clean_bg,True,False,0.816589,1.0,0.0,0.0
tapetech_caatt_05.webp,False,remove_non_clean_bg,False,False,0.6297,0.752,0.016174,0.008667
tapetech_ccage04_01.webp,True,keep_clean_bg,True,False,0.966858,1.0,0.009216,0.0
tapetech_ccage04_02.webp,True,keep_clean_bg,True,False,0.963196,1.0,0.013733,0.0
tapetech_ccage04_03.webp,True,keep_clean_bg,True,False,0.963379,1.0,0.013245,0.0
tapetech_ccage04_04.webp,True,keep_clean_bg,True,False,0.963623,1.0,0.013123,0.0
tapetech_ccage04_05.webp,True,keep_clean_bg,True,False,0.964844,1.0,0.012939,0.0
tapetech_ccage04_06.webp,True,keep_clean_bg,True,False,0.96698,1.0,0.009277,0.0
tapetech_ccage04_07.webp,True,keep_clean_bg,True,False,0.963257,1.0,0.013733,0.0
tapetech_ccage04_08.webp,True,keep_clean_bg,True,False,0.963501,1.0,0.013306,0.0
tapetech_ccage04_09.webp,True,keep_clean_bg,True,False,0.963867,1.0,0.013367,0.0
tapetech_ccage04_10.webp,True,keep_clean_bg,True,False,0.964844,1.0,0.012756,0.0
tapetech_ccage09_01.webp,True,keep_clean_bg,True,False,0.954346,1.0,0.009705,0.0
tapetech_ccage09_02.webp,True,keep_clean_bg,True,False,0.953186,1.0,0.013672,0.0
tapetech_ccage09_03.webp,True,keep_clean_bg,True,False,0.952393,1.0,0.013794,0.0
tapetech_ccage09_04.webp,True,keep_clean_bg,True,False,0.95105,1.0,0.012451,0.0
tapetech_ccage09_05.webp,True,keep_clean_bg,True,False,0.953247,1.0,0.009521,0.0
tapetech_ccage09_06.webp,True,keep_clean_bg,True,False,0.954529,1.0,0.009583,0.0
tapetech_ccage09_07.webp,True,keep_clean_bg,True,False,0.953308,1.0,0.013672,0.0
