old_name,new_name,old_num,new_num
columbia_tools_10fbb_02.webp,columbia_tools_10fbb_01.webp,2,1
columbia_tools_12fbb_02.webp,columbia_tools_12fbb_01.webp,2,1
columbia_tools_25ah_02.webp,columbia_tools_25ah_01.webp,2,1
columbia_tools_25ah_04.webp,columbia_tools_25ah_02.webp,4,2
columbia_tools_25ah_05.webp,columbia_tools_25ah_03.webp,5,3
columbia_tools_25ah_06.webp,columbia_tools_25ah_04.webp,6,4
columbia_tools_2ah_03.webp,columbia_tools_2ah_02.webp,3,2
columbia_tools_2ah_05.webp,columbia_tools_2ah_03.webp,5,3
columbia_tools_2ah_06.webp,columbia_tools_2ah_04.webp,6,4
columbia_tools_35ah_04.webp,columbia_tools_35ah_03.webp,4,3
columbia_tools_35ah_06.webp,columbia_tools_35ah_04.webp,6,4
columbia_tools_3ah_04.webp,columbia_tools_3ah_03.webp,4,3
columbia_tools_3ah_06.webp,columbia_tools_3ah_04.webp,6,4
columbia_tools_3ns_02.webp,columbia_tools_3ns_01.webp,2,1
columbia_tools_8fbb_02.webp,columbia_tools_8fbb_01.webp,2,1
columbia_tools_cltha_03.webp,columbia_tools_cltha_02.webp,3,2
columbia_tools_ica21_03.webp,columbia_tools_ica21_01.webp,3,1
columbia_tools_ica21_04.webp,columbia_tools_ica21_02.webp,4,2
columbia_tools_ica41_03.webp,columbia_tools_ica41_01.webp,3,1
columbia_tools_ica41_04.webp,columbia_tools_ica41_02.webp,4,2
columbia_tools_mh_04.webp,columbia_tools_mh_03.webp,4,3
columbia_tools_mh_05.webp,columbia_tools_mh_04.webp,5,4
columbia_tools_mhl_04.webp,columbia_tools_mhl_03.webp,4,3
columbia_tools_mhl_05.webp,columbia_tools_mhl_04.webp,5,4
columbia_tools_mhs_04.webp,columbia_tools_mhs_03.webp,4,3
columbia_tools_mhs_05.webp,columbia_tools_mhs_04.webp,5,4
columbia_tools_ptaper_03.webp,columbia_tools_ptaper_02.webp,3,2
tapetech_03tt_04.webp,tapetech_03tt_01.webp,4,1
tapetech_03tt_05.webp,tapetech_03tt_02.webp,5,2
tapetech_03tt_06.webp,tapetech_03tt_03.webp,6,3
tapetech_07tt_02.webp,tapetech_07tt_01.webp,2,1
