Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Tools,CMT,CMT,Compound Tubes,variable,"<p>Columbia Compound Tubes have taken the market place by storm. Finally a high quality long lasting tube that is easy to push. We have had many customers, after trying this tube, report back that they changed over their entire fleet.</p>
<h4>FEATURES:</h4>
<ul>
<li>Sizes 24″, 32″, 42″, and 55″ available</li>
<li>A combination of factors result in the compound being easily pushed through your tools</li>
<li>Stainless steel ball</li>
<li>Hand made from U.S. aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>","Columbia Compound Tubes have taken the market place by storm. Finally a high quality long lasting tube that is easy to push. We have had many customers, after trying this tube, report back that they…",,,images/compound-tubes/cmt24_01.webp|images/compound-tubes/cmt24_02.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CMT24, CMT32, CMT42, CMT55, Compound, Tubes, Compound Tubes",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,SKU,CMT24|CMT32|CMT42|CMT55,1,1,Compound Tubes | CMT | Columbia Tools,Professional Compound Tubes by Columbia Tools. Compound Tubes drywall taping tool for contractors.
Columbia Tools,CMT24,CMT24,Compound Tubes – CMT24,variation,,,,,images/compound-tubes/cmt24_01.webp|images/compound-tubes/cmt24_02.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CMT24, CMT32, CMT42, CMT55, Compound, Tubes, Compound Tubes",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,CMT,,,,,,SKU,CMT24,1,1,,
Columbia Tools,CMT32,CMT32,Compound Tubes – CMT32,variation,,,,,images/compound-tubes/cmt24_01.webp|images/compound-tubes/cmt24_02.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CMT24, CMT32, CMT42, CMT55, Compound, Tubes, Compound Tubes",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,CMT,,,,,,SKU,CMT32,1,1,,
Columbia Tools,CMT42,CMT42,Compound Tubes – CMT42,variation,,,,,images/compound-tubes/cmt24_01.webp|images/compound-tubes/cmt24_02.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CMT24, CMT32, CMT42, CMT55, Compound, Tubes, Compound Tubes",4,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,CMT,,,,,,SKU,CMT42,1,1,,
Columbia Tools,CMT55,CMT55,Compound Tubes – CMT55,variation,,,,,images/compound-tubes/cmt24_01.webp|images/compound-tubes/cmt24_02.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CMT24, CMT32, CMT42, CMT55, Compound, Tubes, Compound Tubes",5,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,CMT,,,,,,SKU,CMT55,1,1,,
Columbia Tools,CLT,CLT,Cam Lock Tube,variable,"<p>Our Cam Lock Tube is so simple and so positive we would not recommend using any other tube when it comes to fast set compounds. The brass cams easily find and lock to the stainless ring using the same technology as a firehose.</p>
<h4>FEATURES:</h4>
<ul>
<li>Brass cams on a stainless steel lock ring</li>
<li>Quick remove bottom for complete cleaning</li>
<li>Hand made from U.S. aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>",Our Cam Lock Tube is so simple and so positive we would not recommend using any other tube when it comes to fast set compounds. The brass cams easily find and lock to the stainless ring using the…,,,images/compound-tubes/clt24_01.webp|images/compound-tubes/clt24_02.webp|images/compound-tubes/clt24_03.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CLT24, CLT32, CLT42, CLT55, Lock, Tube, Compound Tubes",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,SKU,CLT24|CLT32|CLT42|CLT55,1,1,Cam Lock Tube | CLT | Columbia Tools,Professional Cam Lock Tube by Columbia Tools. Compound Tubes drywall taping tool for contractors.
Columbia Tools,CLT24,CLT24,Cam Lock Tube – CLT24,variation,,,,,images/compound-tubes/clt24_01.webp|images/compound-tubes/clt24_02.webp|images/compound-tubes/clt24_03.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CLT24, CLT32, CLT42, CLT55, Lock, Tube, Compound Tubes",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,CLT,,,,,,SKU,CLT24,1,1,,
Columbia Tools,CLT32,CLT32,Cam Lock Tube – CLT32,variation,,,,,images/compound-tubes/clt24_01.webp|images/compound-tubes/clt24_02.webp|images/compound-tubes/clt24_03.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CLT24, CLT32, CLT42, CLT55, Lock, Tube, Compound Tubes",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,CLT,,,,,,SKU,CLT32,1,1,,
Columbia Tools,CLT42,CLT42,Cam Lock Tube – CLT42,variation,,,,,images/compound-tubes/clt24_01.webp|images/compound-tubes/clt24_02.webp|images/compound-tubes/clt24_03.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CLT24, CLT32, CLT42, CLT55, Lock, Tube, Compound Tubes",4,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,CLT,,,,,,SKU,CLT42,1,1,,
Columbia Tools,CLT55,CLT55,Cam Lock Tube – CLT55,variation,,,,,images/compound-tubes/clt24_01.webp|images/compound-tubes/clt24_02.webp|images/compound-tubes/clt24_03.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CLT24, CLT32, CLT42, CLT55, Lock, Tube, Compound Tubes",5,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,CLT,,,,,,SKU,CLT55,1,1,,
Columbia Tools,CLTBF,CLTBF,Cam Lock Tube Box Filler,simple,"<p>Our Cam Lock Tube Box Filler is a simple attachment to the Cam Lock Compound Tube, that allows you to easily fill your Flat Finishing Boxes without the use of a Hot Mud Pump. This is a great addition to any finisher’s tool collection.</p>
<h4>FEATURES:</h4>
<ul>
<li>Attaches on to the head of the Columbia Cam Lock Compound Tube</li>
<li>Hand made from U.S. aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>","Our Cam Lock Tube Box Filler is a simple attachment to the Cam Lock Compound Tube, that allows you to easily fill your Flat Finishing Boxes without the use of a Hot Mud Pump. This is a great addition…",,,images/compound-tubes/cltbf_01.webp|images/compound-tubes/cltbf_02.webp|images/compound-tubes/cltbf_03.webp|images/compound-tubes/cltbf_04.webp|images/compound-tubes/cltbf_05.webp,Drywall Finishing Tools > Columbia Tools > Compound Tubes,"Columbia Tools, CLTBF, Lock, Tube, Filler, Compound Tubes",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Cam Lock Tube Box Filler | CLTBF | Columbia Tools,Professional Cam Lock Tube Box Filler by Columbia Tools. Compound Tubes drywall taping tool for contractors.
