Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Columbia Tools,,,Nailspotters,simple,<p>Nailspotters by Columbia Tools.</p>,Nailspotters by Columbia Tools.,,,images/nailspotters/nailspotters_01.webp,Drywall Finishing Tools > Columbia Tools > Nailspotters,"Columbia Tools, Nailspotters",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,Nailspotters |  | Columbia Tools,Professional Nailspotters by Columbia Tools. Nailspotters drywall taping tool for contractors.
Columbia Tools,,,2″ Nailspotter,simple,"<p>The Columbia 2″ Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for swivel tension. By far the best Nailspotter on the market .</p>
<h4>FEATURES:</h4>
<ul>
<li>Available in 2″ and 3″ sizes</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>",The Columbia 2″ Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for…,,,images/nailspotters/nailspotters_01.webp|images/nailspotters/nailspotters_02.webp,Drywall Finishing Tools > Columbia Tools > Nailspotters,"Columbia Tools, Nailspotter, Nailspotters",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,2″ Nailspotter |  | Columbia Tools,Professional 2″ Nailspotter by Columbia Tools. Nailspotters drywall taping tool for contractors.
Columbia Tools,,,3″ Nailspotter,simple,"<p>The Columbia 3″ Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for swivel tension. By far the best Nailspotter on the market .</p>
<h4>FEATURES:</h4>
<ul>
<li>Available in 2″ and 3″ sizes</li>
<li>Hand made from U.S. billet aluminum and steel components</li>
<li>Machined in our state of the art facility in Canada</li>
</ul>",The Columbia 3″ Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for…,,,images/nailspotters/nailspotters_01.webp|images/nailspotters/nailspotters_02.webp,Drywall Finishing Tools > Columbia Tools > Nailspotters,"Columbia Tools, Nailspotter, Nailspotters",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Columbia Tools,1,1,3″ Nailspotter |  | Columbia Tools,Professional 3″ Nailspotter by Columbia Tools. Nailspotters drywall taping tool for contractors.
