product_name,item_no,part_numbers,description,quantity,pdf_source
Nspump,8,FLP-15-FN,5/16-24 X 1 7/16 STUD,2,nspump.pdf
Nspump,9,FLP-16-FN,5/16-24 EXTRA THICK HEX NUT,2,nspump.pdf
Nspump,10,FLP-19,3/8 OD X 1/4 ID X 0.600 LG BEARING,2,nspump.pdf
Nspump,11,FLP-20,3/8 OD X 1/4 ID X 1.25 LG BEARING,1,nspump.pdf
Nspump,12,FLP-21,3/8 OD X 1/4 ID X 1.10 LG BEARING,1,nspump.pdf
Nspump,13,FLP-25-CA,LEG,1,nspump.pdf
Nspump,14,FLP-26,PISTON SHAFT,1,nspump.pdf
Nspump,15,FLP-30,COARSE MESH SCREEN,1,nspump.pdf
Nspump,16,FLP-32,HANDLE,1,nspump.pdf
Nspump,17,FLP-33,SEAL RETAINER GUIDE,1,nspump.pdf
Nspump,18,FLP-38,U-CUP RETAINER,1,nspump.pdf
Nspump,19,FLP-41-FN,DISCHARGE TUBE ASSEMBLY,1,nspump.pdf
Nspump,20,SHW-019,1/4 X 2.80 GRIP HITCH PIN,1,nspump.pdf
Nspump,21,SHW-020,1/4x2.30 GRIP HITCH PIN,1,nspump.pdf
Nspump,22,SHW-078,1/4-20x2.00 LG HEX HEAD BOLT,1,nspump.pdf
Nspump,23,SHW-022,1/4-20 REGULAR NYLOCK,1,nspump.pdf
Nspump,24,SHW-024,5/16-24 THIN JAM NUT,2,nspump.pdf
Nspump,25,SHW-025,1/4-20x0.60 LG HEX SOCKET CAP SCREW,1,nspump.pdf
Nspump,26,SHW-026,3/8-16 REGULAR NYLOCK,1,nspump.pdf
Nspump,27,SHW-029,5/16-18x7/8 LG HEX HEAD BOLT,2,nspump.pdf
Nspump,28,SHW-030,5/8 ODx #10 ID BRASS FLAT WASHER,1,nspump.pdf
Nspump,29,SHW-033,8-32x3/16 LG HEX SOCKET CAP SCREW,4,nspump.pdf
Nspump,30,SHW-035,SOUTHCO LATCH 97-50-110-15,2,nspump.pdf
Nspump,31,SHW-036,#142 TETRASEAL,1,nspump.pdf
Nspump,32,SHW-069,PISTON U-CUP SEAL (AN6226-30V),1,nspump.pdf
Nspump,33,SHW-077,1/4-20 THIN NYLOCK,1,nspump.pdf
Nspump,34,SHW-021,1/4-20x2-1/4 LG HEX HEAD BOLT,1,nspump.pdf
Nspump,35,SHW-079,1/4 IDx.682 ODx 0.042 THK FLAT WASHER,2,nspump.pdf
Nspump,36,SHW-080,5/16 FLAT WASHER,2,nspump.pdf
Nspump,37,SHW-082,SASH CHAIN,1,nspump.pdf
Nspump,38,SHW-083,7/8 ODx1/4 IDx 0.031 THK NYLON WASHER,2,nspump.pdf
Nspump,39,SHW-032,10-24 THIN NYLOCK,1,nspump.pdf
Nspump,40,SHW-089,10-24x3/4 LG HEX HEAD BOLT,1,nspump.pdf
Nspump,41,SHW-018,SHAFT U-CUP SEAL (AN6226-14),1,nspump.pdf
Nspump,42,SHW-096,S RING,2,nspump.pdf
Nspump,43,FLP-22-GN,GOOSENECK ASSEMBLY,1,nspump.pdf
Nspump,44,FLP-40-GN,GOOSENECK ADAPTER,1,nspump.pdf
Nspump,45,FLP-39-FN,FILLER TUBE ASSEMBLY,1,nspump.pdf
Nspump,2,SHW-023,O-RING 0.750x1.000x0.139,1,nspump.pdf
Nspump,,FLP-00,FASTAR LODING PUMP,,nspump.pdf
Nstaperschematic,2,SHW-129,2-56 x 1/8 LG SLOT BIND HEAD,,nstaperschematic.pdf
Nstaperschematic,6,SHW-134,4-40 x 1/4 LG SLOT FLAT HEAD (100,,nstaperschematic.pdf
Nstaperschematic,7,SHW-118,6-32 x 3/8 LG SLOT PAN HEAD,,nstaperschematic.pdf
Nstaperschematic,1,AT-145R,Weldment- Tape Guide,,nstaperschematic.pdf
Nstaperschematic,1,AT-PS-09,Baffle Plate Assy.,,nstaperschematic.pdf
Nstaperschematic,8,SHW-016,6-32x1/4 LG HEX SOCKET CAP,,nstaperschematic.pdf
Nstaperschematic,3,SHW-045,6-32x3/16 LG SLOT FILLISTER HEAD,,nstaperschematic.pdf
Nstaperschematic,6,SHW-052,4-40x1/8 LG SLOT PAN HEAD SCREW,,nstaperschematic.pdf
Nstaperschematic,6,SHW-127,#4 REGULAR LOCK WASHER,,nstaperschematic.pdf
Nstaperschematic,2,SHW-116,4-40x5/16 LG SLOT PAN HEAD,,nstaperschematic.pdf
Nstaperschematic,2,SHW-047,4-40x3/16 LG SLOT PAN HEAD,,nstaperschematic.pdf
Nstaperschematic,2,SHW-120,4-40x1/8 LG SLOT FLAT HEAD (100,,nstaperschematic.pdf
Nstaperschematic,1,SHW-122,6-32x1/4 LG SLOT FLAT HEAD (100,,nstaperschematic.pdf
Nstaperschematic,4,SHW-114,#6 REGULAR SPRING LOCK WASHER,,nstaperschematic.pdf
Nstaperschematic,3,SHW-131,6-32x3/16 LG PAN HEAD SCREW,,nstaperschematic.pdf
Nstaperschematic,1,SHW-133,O RING,,nstaperschematic.pdf
Nstaperschematic,3,SHW-038,6-32 THIN NYLOCK,,nstaperschematic.pdf
Nstaperschematic,1,SHW-139,#6 FLAT WASHER,,nstaperschematic.pdf
Nstaperschematic,2,SHW-076,4-40 x 5/16 LG SLOT FILLISTER HEAD,,nstaperschematic.pdf
Nstaperschematic,7,SHW-158,4-40 x 1/4 Bind Head Slot Screw,,nstaperschematic.pdf
Nstaperschematic,1,SHW-130,8-32 x 1-1/2 LG SLOT ROUND HEAD,,nstaperschematic.pdf
Nstaperschematic,2,SHW-162,NUT 8 - 32 REG NYLOCK,,nstaperschematic.pdf
Nstaperschematic,2,SHW-074,#10 BRASS FLAT WASHER,,nstaperschematic.pdf
Nstaperschematic,1,SHW-043,10-24 WING NUT,,nstaperschematic.pdf
Nstaperschematic,1,SHW-081,5/8 KEY RING,,nstaperschematic.pdf
Nstaperschematic,52,CUT-OFF SPRING BRACKET SPRING,PS01,,nstaperschematic.pdf
Nstaperschematic,2,SHW-164,#10 NYLON WASHER,,nstaperschematic.pdf
Nstaperschematic,2,SHW-103,6-32 x 5/16 LG SLOT PAN HEAD,,nstaperschematic.pdf
Nstaperschematic,1,SHW-110,6-32 X 1/4 BIND HEAD SCREW,,nstaperschematic.pdf
Nstaperschematic,1,SHW-141,4 - 40 x 1/8 LG HEX SET SCREW,,nstaperschematic.pdf
Nstaperschematic,1,AT-63,CUTTER BLADE,,nstaperschematic.pdf
Nstaperschematic,2,SHW-161,5/64 x 1/4 LG ROLL PIN,,nstaperschematic.pdf
Nstaperschematic,1,SHW-072,4-40 NYLOCK,,nstaperschematic.pdf
Nstaperschematic,3,SHW-128,8-32 x 1/4 LG HEX SOCKET SET,,nstaperschematic.pdf
Nstaperschematic,2,SHW-053,4L6-D NYLINER,,nstaperschematic.pdf
Nstaperschematic,1,SHW-132,2-56 X 3/4 FILLISTER SCREW,,nstaperschematic.pdf
Nstaperschematic,1,SHW-137,6-32 x 5/8 LG SOCKET CAP SCREW,,nstaperschematic.pdf
Nstaperschematic,1,SHW-155,6-32 x 5/8 FLAT HEAD,,nstaperschematic.pdf
Nstaperschematic,1,AT-64,CUTTER CHAIN,,nstaperschematic.pdf
Nstaperschematic,1,AT-56,CREASER CHAIN,,nstaperschematic.pdf
Nstaperschematic,1,AT-105,MAIN CHAIN,,nstaperschematic.pdf
Nstaperschematic,4,SHW-119,Screw - Socket Head #4-40 x 3/8,,nstaperschematic.pdf
Nstaperschematic,2,SHW-117,8-32x5/8 LG SLOT TRUSS HEAD,,nstaperschematic.pdf
Nstaperschematic,1,SHW-160,8 - 32 THIN NYLOCK,,nstaperschematic.pdf
Nstaperschematic,1,AT-107R,Spocket Assy.,,nstaperschematic.pdf
Nstaperschematic,3,SHW-126,COTTER PIN 1/16 x 1/2,,nstaperschematic.pdf
Nstaperschematic,2,SHW-124,1/16 x 3/8 LG SPRING PIN,,nstaperschematic.pdf
Nstaperschematic,1,SHW-123,3/32 x 3/8 LG SPRING PIN,,nstaperschematic.pdf
Nstaperschematic,1,AT-PS-31,CONTROL EXTENSION TUBE,,nstaperschematic.pdf
Nstaperschematic,4,SHW-135,4-40x3/16 LG SLOT TRUSS HEAD,,nstaperschematic.pdf
Nstaperschematic,4,SHW-153,4-40x3/8 LG SLOT PAN HEAD SCREW,,nstaperschematic.pdf
Nstaperschematic,4,SHW-072,4-40 NYLOCK,,nstaperschematic.pdf
Nstaperschematic,2,SHW-136,8-32x1/4 LG HEX SOCKET SET SCREW,,nstaperschematic.pdf
Nstaperschematic,8,SHW-149,5-40x3/4 LG HEX SOCKET CAP,,nstaperschematic.pdf
Nstaperschematic,8,SHW-148,5-40 LOCK NUT,,nstaperschematic.pdf
Nstaperschematic,1,AT-152,TAPER TUBE,,nstaperschematic.pdf
Nstaperschematic,1,AT-20B,BAND B,,nstaperschematic.pdf
Nstaperschematic,1,AT-20C,BAND C,,nstaperschematic.pdf
Nstaperschematic,1,AT-13,Band Adapter- Guide Post,,nstaperschematic.pdf
Nstaperschematic,1,SHW-061,10L Brass Flat Washer,,nstaperschematic.pdf
Nstaperschematic,1,SHW-146,10-24 Nylock Nut,,nstaperschematic.pdf
Nstaperschematic,1,SHW-011,3L3-F NYLINER,,nstaperschematic.pdf
Nstaperschematic,8,SHW-144,6-32x1.25 Sockethead CAP SCREW,,nstaperschematic.pdf
Nstaperschematic,8,SHW-038,6-32 Thin Nylock,,nstaperschematic.pdf
Nstaperschematic,2,SHW-143,1/4-20 x 1/2 Flathead Screw,,nstaperschematic.pdf
Nstaperschematic,1,SHW-040,.50 IDx.90 OD O-RING,,nstaperschematic.pdf
Nstaperschematic,3,SHW-047,4-40x3/16 LG SLOT PAN HEAD,,nstaperschematic.pdf
Nstaperschematic,1,SHW-086,11/16 ODx.26 IDx.05 THK FLAT,,nstaperschematic.pdf
Nstaperschematic,1,AT-136,Special Nut,,nstaperschematic.pdf
Nstaperschematic,1,SHW-138,1/4-20 SS Castle Nut- Hex,,nstaperschematic.pdf
