"brand","schematic_file","part_id","part_name","source_sku","resolved_sku","status","resolution_rule"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","722039","Discharge Tube","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","709043","709043 - S-Hook","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","709034","709034 - Filler O-Ring Kit 5-Pack","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","700042","700042 - Connector for Filler","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","709043","709043 - S-Hook","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","704040","704040 - Filler Tube Assembly","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","059091","059091 - 6-32 X 1/2 Fill. Hd Screw","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","402002B","402002B","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","409010","409010 - Retainer Spring","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","402012","402012 - Ball Retainer","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","480021","480021 - Blade Tension Spring (Small)","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","480017F","480017 - Center Clip (Short)","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","402019","402019 - Blade Holder Stop","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","059084","059084 - 8-32 X 1/4 1/2 Dog Setscrew","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","420016","420016 - 2.5in Frame (Right)","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","480002B","480002B","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","484014F","484014F - Center Clip Assy","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","359005","359005 - 6-32 X 1/4 Bind Hd Screw","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","059037","059037 - 4-40 X 1/4 Bind Hd Screw","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","489022","489022 - Screw, 4-40 X 31/64","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","480230","480230 - Head Frame Stop","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","489013","489013 - 6-32x1/8 Socket Hd Setscrew","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","420009","420009 - Carbide Blade 2.5in","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","409011","409011 - Skid Blade","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","420015","420015 - 2.5in Frame (Left)","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","402019","402019 - Blade Holder Stop","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","059037","059037 - 4-40 X 1/4 Bind Hd Screw","","","cleared_unresolved","unresolved"
