Part Identifier,Part Name,Source Dataset(s),Issue Type,Description,Suggested Action
CT1R,Head (No Holes for Cap),Columbia Parts Master,Missing From Catalog,Part 'CT1R' (Head (No Holes for Cap)) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT1R' or map it to an existing SKU.
CT2,Insert Bushings,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT2' (Insert Bushings) has near catalog match SKU 'CTR-2' (Columbia Taper Head Maintenance Kit (CTR-2)). Similarity may indicate same part with different SKU format.,Verify if 'CT2' == 'CTR-2'; consolidate or correct SKU in catalog.
CT3,Stainless Steel Right Insert Bushing,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT3' (Stainless Steel Right Insert Bushing) has near catalog match SKU 'CT93' (Columbia Taper Mud Shut Off Lever Arm (CT93)). Similarity may indicate same part with different SKU format.,Verify if 'CT3' == 'CT93'; consolidate or correct SKU in catalog.
CT4,Wafer Bushing,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT4' (Wafer Bushing) has near catalog match SKU 'CT49' (Columbia Taper Crimping Arm Right (CT49)). Similarity may indicate same part with different SKU format.,Verify if 'CT4' == 'CT49'; consolidate or correct SKU in catalog.
CT6R,Removable Cap Sideplate Screw,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT6R' (Removable Cap Sideplate Screw) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT6R' == 'CT-6'; consolidate or correct SKU in catalog.
CT7,Side Plate Support - Right,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT7' (Side Plate Support - Right) has near catalog match SKU 'CT97' (Columbia Taper Mud Supply Valve Body 054059F (CT97)). Similarity may indicate same part with different SKU format.,Verify if 'CT7' == 'CT97'; consolidate or correct SKU in catalog.
CT8,Side Plate Support - Left,Columbia Parts Master,Possible Mismatch / Near Match,"Parts Master part 'CT8' (Side Plate Support - Left) has near catalog match SKU 'CTK8' (Columbia 8"" Stainless Steel Comfort Grip Taping Knife (CTK8)). Similarity may indicate same part with different SKU format.",Verify if 'CT8' == 'CTK8'; consolidate or correct SKU in catalog.
CT11,Mud Gate Plate,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT11' (Mud Gate Plate) has near catalog match SKU 'CT-119' (Columbia Spool Retaining Spring (CT-119)). Similarity may indicate same part with different SKU format.,Verify if 'CT11' == 'CT-119'; consolidate or correct SKU in catalog.
CT12,Tape Advance Release Bracket,Columbia Parts Master,Possible Mismatch / Near Match,"Parts Master part 'CT12' (Tape Advance Release Bracket) has near catalog match SKU 'CTK12' (Columbia 12"" Stainless Steel Comfort Grip Taping Knife (CTK12)). Similarity may indicate same part with different SKU format.",Verify if 'CT12' == 'CTK12'; consolidate or correct SKU in catalog.
CT13,Dog Base Bracket - See CTA13,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT13' (Dog Base Bracket - See CTA13) has near catalog match SKU 'CTA13' (Columbia Taper Dog Base Bracket (CTA13)). Similarity may indicate same part with different SKU format.,Verify if 'CT13' == 'CTA13'; consolidate or correct SKU in catalog.
