"Type","SKU","GTIN, UPC, EAN, or ISBN","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Brands","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 used for variations","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 used for variations","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 used for variations","Attribute 3 global","Meta: _mpn"
"variable","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","Level 5 Automatic Taper Repair Kit","1","0","visible","10 -7111 Blades","<h3>Taper Repair Kit </h3> <ul> <li>10 -7111 Blades</li> <li>1 -7137 Cable</li> <li>2 -7007 Roller Axle Spring</li> <li>1 -7005 Roller Brake</li> <li>1 -7006 Spring Creaser Retainer</li> <li>1 -7094 Leaf Spring (Drive Dog)</li> <li>1 -7040 Gooser Needle</li> </ul> <ul></ul> <h3>Taper Rebuild Kit</h3> <ul> <li>2 -7077 Taper Wheel</li> <li>1 -7322 Cable Drum Bushing</li> <li>2 -7119 Bearing</li> <li>2 -7063 Bearing</li> <li>1 -7094 Leaf Spring (Drive Dog)</li> <li>2 -7007 Roller Axle Spring</li> </ul> <ul></ul> <h3>Gooser Assembly</h3> <ul> <li>1 -7293 Gooser Assembly</li> </ul> <h3>Drive Dog Assembly</h3> <ul> <li>1 -7097 Drive Dog Assembly</li> </ul> <h3>Cutter Chain Assembly</h3> <ul> <li>1 -7333 Cutter Chain Assembly</li> </ul> <h3>10/25 Pack Pyramid Blades</h3> <ul> <li>10/25 -7111 Pyramid Blades</li> </ul> <h3>Plunger Cup Assembly</h3> <ul> <li>1-7130 Plunger</li> <li>1 -7132 Plunger</li> <li>1 -7137 Cable</li> <li>1 -7134 1/4-20 x 3/4"" HH Cup Bolt</li> <li>1 -7133 Plunger Cup Washer</li> <li>2 -7135 1-4/20 Het Nut</li> <li>2 -7000 1-4/20 Plastic Washer</li> </ul> <ul></ul> <h3>Cover Plate Assembly</h3> <ul> <li>1 -7377 Cover Plate Assembly</li> </ul>","","","taxable","","1","","","0","0","","","","","1","","","","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","","","","","","","0","Level 5","Part Number","4-815 - Taper Repair Kit | 4-816 - Taper Rebuild Kit | 4-817 - Gooser Assembly | 4-818 - Drive Dog Assembly | 4-821 - 10 Pack Pyramid Blades | 4-822 - 25 Pack Pyramid Blades | 4-825 - Plunger Cup Assembly | 4-826 - Cover Plate Assembly | 4-861 - Cutter Chain Assembly","1","1","1","","","","","","","","","","","4-815, 4-816, 4-817, 4-818, 4-821, 4-822, 4-825, 4-826, 4-861"
"variation","4-815","","Level 5 Automatic Taper Repair Kit","1","0","visible","","","","","taxable","","1","","","0","0","0.11","","","","1","","","81.00","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","","","","","1","Level 5","Part Number","4-815 - Taper Repair Kit","","1","1","","","","","","","","","","","4-815"
"variation","4-816","","Level 5 Automatic Taper Repair Kit","1","0","visible","","","","","taxable","","1","","","0","0","0.11","","","","1","","","85.00","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","","","","","2","Level 5","Part Number","4-816 - Taper Rebuild Kit","","1","1","","","","","","","","","","","4-816"
"variation","4-817","","Level 5 Automatic Taper Repair Kit","1","0","visible","","","","","taxable","","1","","","0","0","0.11","","","","1","","","164.00","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","","","","","3","Level 5","Part Number","4-817 - Gooser Assembly","","1","1","","","","","","","","","","","4-817"
"variation","4-818","","Level 5 Automatic Taper Repair Kit","1","0","visible","","","","","taxable","","1","","","0","0","0.11","","","","1","","","142.00","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","","","","","4","Level 5","Part Number","4-818 - Drive Dog Assembly","","1","1","","","","","","","","","","","4-818"
"variation","4-821","","Level 5 Automatic Taper Repair Kit","1","0","visible","","","","","taxable","","1","","","0","0","0.11","","","","1","","","33.00","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","","","","","5","Level 5","Part Number","4-821 - 10 Pack Pyramid Blades","","1","1","","","","","","","","","","","4-821"
"variation","4-822","","Level 5 Automatic Taper Repair Kit","1","0","visible","","","","","taxable","","1","","","0","0","0.11","","","","1","","","82.00","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","","","","","6","Level 5","Part Number","4-822 - 25 Pack Pyramid Blades","","1","1","","","","","","","","","","","4-822"
"variation","4-825","","Level 5 Automatic Taper Repair Kit","1","0","visible","","","","","taxable","","1","","","0","0","0.11","","","","1","","","129.00","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","","","","","7","Level 5","Part Number","4-825 - Plunger Cup Assembly","","1","1","","","","","","","","","","","4-825"
"variation","4-826","","Level 5 Automatic Taper Repair Kit","1","0","visible","","","","","taxable","","1","","","0","0","0.11","","","","1","","","158.00","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","","","","","8","Level 5","Part Number","4-826 - Cover Plate Assembly","","1","1","","","","","","","","","","","4-826"
"variation","4-861","","Level 5 Automatic Taper Repair Kit","1","0","visible","","","","","taxable","","1","","","0","0","0.11","","","","1","","","122.00","Drywall Finishing Tools > Level 5 > Parts","Level 5, Level 5 Parts, Parts","","","","","LVL5-LEVEL-5-AUTOMATIC-TAPER-REPAIR-KIT","","","","","","9","Level 5","Part Number","4-861 - Cutter Chain Assembly","","1","1","","","","","","","","","","","4-861"
