Brands,MPN,SKU,Name,Short description,Description,features,price_display,Regular price,Images
TapeTech,CN-TT,18902,TapeTech Cleaning Nozzle,"TapeTech Cleaning Nozzle The CFS Tool Cleaning Coupling allows you to effectively clean the entire length of the Bazooka® Continuous Flow Taper, Finishing Box H...","TapeTech Cleaning Nozzle The CFS Tool Cleaning Coupling allows you to effectively clean the entire length of the Bazooka® Continuous Flow Taper, Finishing Box Handles and Corner Finisher Handles. The coupling (with Part 800826) is used in conjunction with the CNA-TT to fit snugly onto the CFS tool fittings and allow for thorough cleaning. There is no better way to keep your investment in continuous flow clean and running efficiently.",,$17.00,17.0,https://www.shopamestools.com/Item_Images_AMES/18902_CN-TT_01.jpg | https://www.shopamestools.com/Item_Images_AMES/18902_CN-TT_02.jpg | https://www.shopamestools.com/Item_Images_AMES/18902_CN-TT_03.jpg | https://s3.amazonaws.com/tswfastcomfiles/product/TTTCNTT_M.jpg
TapeTech,WoolCut-BS,18901,TapeTech Mineral Wool Wavy Blade Sharpener,TapeTech WOOLCUT-BS – Wavy Blade Sharpener The WoolCut-BS Professional Blade Sharpener is the only blade sharpener designed to specifically sharpen the wavy edg...,"TapeTech WOOLCUT-BS – Wavy Blade Sharpener The WoolCut-BS Professional Blade Sharpener is the only blade sharpener designed to specifically sharpen the wavy edge of insulation knives and saws. The compact size makes storage and transport easy in your truck, toolbox, or pouch. Sharpens the TapeTech WoolCut-10F, WoolCut-10F2, and the WoolCut-HS22. Not recommended for the WoolCut11 or WoolCut16 Features: Compact design for easy storage and transport Full knuckle grip with blade guard for comfort and protection",Compact design for easy storage and transport | Full knuckle grip with blade guard for comfort and protection,$7.99,7.99,https://www.shopamestools.com/Item_Images_AMES/18901_WoolCut-BS_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18901_WoolCut-BS_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18901_WoolCut-BS_003.jpg
TapeTech,WC18R-Blade13W,18900,"TapeTech 13"" Wavy Reciprocating Saw Blade for WoolCut18-R","TapeTech 13"" Wavy Reciprocating Saw Blade for WoolCut18-R - WC18R-Blade13W Replacement blades for the TapeTech WOOLCUT18-R are available and sold separately in...","TapeTech 13"" Wavy Reciprocating Saw Blade for WoolCut18-R - WC18R-Blade13W Replacement blades for the TapeTech WOOLCUT18-R are available and sold separately in 8″ and 13″ sizes or as a two-piece set. Both blades offer a dual edge design and plunge cutting tip for starting cuts away from the edges of the material. Features: Dual edge blade for versatility and cutting a variety of materials Pointed tip for plunge cuts when needing to start away from an edge Reversible in the tool for use in either direction for both cutting edges",Dual edge blade for versatility and cutting a variety of materials | Pointed tip for plunge cuts when needing to start away from an edge | Reversible in the tool for use in either direction for both cutting edges,$21.99,21.99,https://www.shopamestools.com/Item_Images_AMES/18900_WC18R-Blade13W_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18900_WC18R-Blade13W_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18900_WC18R-Blade13W_003.jpg
TapeTech,WC18R-Blade8W,18899,"TapeTech 8"" Wavy Reciprocating Saw Blade for WoolCut18-R",TapeTech 8″ Dual Edge Reciprocating Saw Blade for WoolCut18-R - WC18R-Blade8W Replacement blades for the TapeTech WOOLCUT18-R are available and sold separately...,TapeTech 8″ Dual Edge Reciprocating Saw Blade for WoolCut18-R - WC18R-Blade8W Replacement blades for the TapeTech WOOLCUT18-R are available and sold separately in 8″ and 13″ sizes or as a two-piece set. Both blades offer a dual edge design and plunge cutting tip for starting cuts away from the edges of the material. Features: Dual edge blade for versatility and cutting a variety of materials Pointed tip for plunge cuts when needing to start away from an edge Reversible in the tool for use in either direction for both cutting edges,Dual edge blade for versatility and cutting a variety of materials | Pointed tip for plunge cuts when needing to start away from an edge | Reversible in the tool for use in either direction for both cutting edges,$18.99,18.99,https://www.shopamestools.com/Item_Images_AMES/18899_WC18R-Blade8W_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18899_WC18R-Blade8W_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18899_WC18R-Blade8W_003.jpg
TapeTech,WCW-1306-10,18898,"TapeTech 13.8"" (350mm) 0.6mm Replacement Wire for WoolCut-V500","TapeTech 13.8"" (350mm) 0.6mm Replacement Wire for WoolCut-V500 - WCW-1306-10 Diamond-coated replacement wire for the TapeTech WoolCut-V500 Vibrating wire cutter...","TapeTech 13.8"" (350mm) 0.6mm Replacement Wire for WoolCut-V500 - WCW-1306-10 Diamond-coated replacement wire for the TapeTech WoolCut-V500 Vibrating wire cutter. Easy installation by pulling the spring-loaded hook at the rear of the tool. Features: Wire should be replaced when cutting becomes more difficult or the wire is slick to the touch Product is sold as a 10 pack",Wire should be replaced when cutting becomes more difficult or the wire is slick to the touch | Product is sold as a 10 pack,$39.99,39.99,https://www.shopamestools.com/Item_Images_AMES/18898_WCW-1306-10_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18898_WCW-1306-10_002.jpg
TapeTech,WoolCut-HS22,18897,"TapeTech 22"" Wavy Edge Insulation Hand Saw","TapeTech 22"" Wavy Edge Insulation Hand Saw The WoolCut-HS22 is a great tool for cutting multiple materials with very little waste and debris.","TapeTech 22"" Wavy Edge Insulation Hand Saw The WoolCut-HS22 is a great tool for cutting multiple materials with very little waste and debris. The wider blade provides blade provides more stability in the cut compared to a standard insulation knife. The WoolCut-HS22 can be used with the TapeTech WoolCut-300 for even more accuracy and angled cuts. Features: Wavy edge blade for smooth accurate cuts Ergonomic two-component, soft-grip handle allows for the proper grip and comfort for all day use Pointed tip assists in plunge cuts Includes: Heavy-duty cloth scabbard","Wavy edge blade for smooth accurate cuts | Ergonomic two-component, soft-grip handle allows for the proper grip and comfort for all day use | Pointed tip assists in plunge cuts | Heavy-duty cloth scabbard",$34.99,34.99,https://www.shopamestools.com/Item_Images_AMES/18897_WoolCut-HS22_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18897_WoolCut-HS22_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18897_WoolCut-HS22_003.jpg | https://www.shopamestools.com/Item_Images_AMES/18897_WoolCut-HS22_004.jpg
TapeTech,WoolCut-10F2,18895,"TapeTech 10"" Dual Blade Folding Insulation Knife",TapeTech WOOLCUT-10F2 – 10” Dual Blade Folding Insulation Knife The WoolCut-10F is a 10” dual blade folding knife for use when cutting insulation materials.,"TapeTech WOOLCUT-10F2 – 10” Dual Blade Folding Insulation Knife The WoolCut-10F is a 10” dual blade folding knife for use when cutting insulation materials. The tool has both a wavy blade and a serrated blade for versatility when cutting insulation materials. The WoolCut-10F2 is excellent when cutting multiple types of materials including fiberglass insulation, glass wool, mineral wool products, and others. Features: 10” Wavy edge, steel blade for smooth, fast, and clean cuts 10” Serrated tooth, steel blade for faster, more aggressive cuts Dual blade design allows the user to choose the best option for the material Ergonomic handle is made of ABS+TPU material for durability and has a soft-grip design for comfort Safety Lock – The locking mechanism prevents accidental closure during use or opening while stored in the toolbox. Rounded tip for prevention of accidental jabs Specifications: Overall Length – 16.68” (500mm) Handle Length – 10” (250mm) Blade Length – 10” (250mm) Blade Thickness – 0.03” (0.8mm) Blade Hardness – HRC 50","10” Wavy edge, steel blade for smooth, fast, and clean cuts | 10” Serrated tooth, steel blade for faster, more aggressive cuts | Dual blade design allows the user to choose the best option for the material | Ergonomic handle is made of ABS+TPU material for durability and has a soft-grip design for comfort | Safety Lock – The locking mechanism prevents accidental closure during use or opening while stored in the toolbox. | Rounded tip for prevention of accidental jabs | Overall Length – 16.68” (500mm) | Handle Length – 10” (250mm) | Blade Length – 10” (250mm) | Blade Thickness – 0.03” (0.8mm) | Blade Hardness – HRC 50",$42.99,42.99,https://www.shopamestools.com/Item_Images_AMES/18895_WoolCut-10F2_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18895_WoolCut-10F2_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18895_WoolCut-10F2_003.jpg | https://www.shopamestools.com/Item_Images_AMES/18895_WoolCut-10F2_004.jpg
TapeTech,WoolCut-10F,18894,"TapeTech 10"" Single Blade Folding Insulation Knife","TapeTech WOOLCUT-10F – 10” Folding Insulation Knife with Steel Blade The WoolCut-10F is a 10” wavy, steel blade folding knife for use when cutting insulation ma...","TapeTech WOOLCUT-10F – 10” Folding Insulation Knife with Steel Blade The WoolCut-10F is a 10” wavy, steel blade folding knife for use when cutting insulation materials. The WoolCut-10F is excellent when cutting multiple types of materials including fiberglass insulation, glass wool, mineral wool products, and others. Features: 10” Wavy Steel blade meticulously ground and polished for fast cutting speed Unique wavy blade design cuts with minimal debris in various insulation materials Ergonomic handle is made of ABS+TPU material for durability and has a soft-grip design for comfort Safety Lock – The locking mechanism prevents accidental closure during use or opening while stored in the toolbox. Rounded Tip for prevention of accidental jabs Specifications: Overall Length – 16.68” (500mm) Handle Length – 10” (250mm) Blade Length – 10” (250mm) Blade Thickness – 0.03” (0.8mm) Blade Hardness – HRC 50",10” Wavy Steel blade meticulously ground and polished for fast cutting speed | Unique wavy blade design cuts with minimal debris in various insulation materials | Ergonomic handle is made of ABS+TPU material for durability and has a soft-grip design for comfort | Safety Lock – The locking mechanism prevents accidental closure during use or opening while stored in the toolbox. | Rounded Tip for prevention of accidental jabs | Overall Length – 16.68” (500mm) | Handle Length – 10” (250mm) | Blade Length – 10” (250mm) | Blade Thickness – 0.03” (0.8mm) | Blade Hardness – HRC 50,$24.99,24.99,https://www.shopamestools.com/Item_Images_AMES/18894_WoolCut-10F_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18894_WoolCut-10F_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18894_WoolCut-10F_003.jpg | https://www.shopamestools.com/Item_Images_AMES/18894_WoolCut-10F_004.jpg | https://www.shopamestools.com/Item_Images_AMES/18894_WoolCut-10F_005.jpg | https://www.shopamestools.com/Item_Images_AMES/18894_WoolCut-10F_006.jpg | https://www.shopamestools.com/Item_Images_AMES/18894_WoolCut-10F_007.jpg | https://www.shopamestools.com/Item_Images_AMES/18894_WoolCut-10F_008.jpg
TapeTech,WoolCut11,18893,"TapeTech 11"" WoolCut Insulation Knife","TapeTech 11"" Insulation Knife - WoolCut11 Great for cutting foam insulation, heat insulation, styrofoam, mineral wool, and more.","TapeTech 11"" Insulation Knife - WoolCut11 Great for cutting foam insulation, heat insulation, styrofoam, mineral wool, and more. Features: Dual edge blade for versatility and cutting a variety of materials Pointed tip for plunge cuts when needing to start away from an edge Comfort grip handle Includes: Sheath for storage and safety",Dual edge blade for versatility and cutting a variety of materials | Pointed tip for plunge cuts when needing to start away from an edge | Comfort grip handle | Sheath for storage and safety,$19.99,19.99,https://www.shopamestools.com/Item_Images_AMES/18893_WoolCut11_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18893_WoolCut11_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18893_WoolCut11_003.jpg | https://www.shopamestools.com/Item_Images_AMES/18893_WoolCut11_004.jpg
TapeTech,WoolCut18-R,18892,TapeTech 18V Cordless Reciprocating Insulation Saw,"TapeTech 18V Cordless Reciprocating Insulation Saw WoolCut18-R CONVENIENT, CORDLESS, CUTS.","TapeTech 18V Cordless Reciprocating Insulation Saw WoolCut18-R CONVENIENT, CORDLESS, CUTS. The WoolCut18-R from TapeTech is a professional cordless reciprocating saw designed to quickly and efficiently provide precise cuts in mineral wool, glass wool and wood fiber panels. With the special dual-edged blades that are included with the tool, you can also cut PIR, PUR and soft wood fiber panels. The WoolCut18-R handles the toughest insulation jobs wherever needed. The cordless design provides long runtime and makes it easy to bring the tool to your workpiece, no matter where it is, on the bench, on a ladder or on scaffolding. The WoolCut18-R uses the same 18V battery platform as the other great cordless tools for EIFS and Insulation, and you can also power the tool with Bosch, DeWalt, Makita or Milwaukee batteries (using the appropriate adapter). Features: Variable speed range of 0-3,000 strokes per minute (SPM) for matching the speed of cut to the application/material ¾” stroke length Dual edge blade (one side wavy and one side serrated) in 8” and 13.8” lengths Ability to use Bosch, DeWalt, Makita, or Milwaukee batteries with the correct adapter Tool-less blade change","Variable speed range of 0-3,000 strokes per minute (SPM) for matching the speed of cut to the application/material | ¾” stroke length | Dual edge blade (one side wavy and one side serrated) in 8” and 13.8” lengths | Ability to use Bosch, DeWalt, Makita, or Milwaukee batteries with the correct adapter | Tool-less blade change",$169.00,169.0,https://www.shopamestools.com/Item_Images_AMES/18892_WoolCut18-R_001.jpg | https://www.shopamestools.com/Item_Images_AMES/18892_WoolCut18-R_002.jpg | https://www.shopamestools.com/Item_Images_AMES/18892_WoolCut18-R_003.jpg | https://www.shopamestools.com/Item_Images_AMES/18892_WoolCut18-R_004.jpg
